target,horizon,candidate,fold,evaluation_stage,n,mae,rmse,mae_krw,log_loss,brier,balanced_accuracy,metric_note,interval_score,interval_coverage,mean_width,issuance_rate,oof_slope,band_q,note,zero_mae,train_rows,train_start,train_end,test_start,test_end
samsung,5,hold_current,all,evaluation,475,0.05446715514094003,0.07276298483133745,14678.898310483337,,,,방향 확률 모델 없음(M04에서),,,,,,,,,,,,,
samsung,5,current_ridge_raw,all,evaluation,475,0.05807046984500477,0.07777342481591486,15649.991623228785,,,,방향 확률 모델 없음(M04에서),,,,,,,,,,,,,
samsung,5,current_ridge_calibrated,all,evaluation,475,0.05446715514094003,0.07276298483133745,14678.898310483337,,,,방향 확률 모델 없음(M04에서),0.26810833951683755,0.8315789473684211,0.20538245113455478,0.0,0.0,1.4362536479326438,,,,,,,
samsung,5,current_ridge_issued,all,evaluation,475,0.05446715514094003,0.07276298483133745,14678.898310483337,,,,방향 확률 모델 없음(M04에서),,,,0.0,,,발행 중심값. 신호 없음이면 현재가(0% 수익률),,,,,,
samsung,5,current_ridge_raw,0,oof_fold,380,0.03172480833574683,0.04238223127559946,,,,,,,,,,,,,0.03185591756500131,377,2017-02-21,2018-10-12,2018-10-19,2020-05-08
samsung,5,current_ridge_raw,1,oof_fold,380,0.025980582921519734,0.03545605555488794,,,,,,,,,,,,,0.026361446310347154,757,2017-02-21,2020-04-29,2020-05-11,2021-11-18
samsung,5,current_ridge_raw,2,oof_fold,380,0.023723067333141747,0.029883504562270454,,,,,,,,,,,,,0.023341558730275283,1137,2017-02-21,2021-11-12,2021-11-19,2023-06-22
samsung,5,current_ridge_raw,3,oof_fold,380,0.030226425681314867,0.03905816200066415,,,,,,,,,,,,,0.030229147307674512,1517,2017-02-21,2023-06-16,2023-06-23,2025-01-14
samsung,5,current_ridge_raw,4,oof_fold,380,0.06243859540996276,0.0832814698278422,,,,,,,,,,,,,0.05821092971501575,1897,2017-02-21,2025-01-08,2025-01-15,2026-09-03
samsung,20,hold_current,all,evaluation,469,0.12849495407238914,0.17050827009405542,34629.39012250888,,,,방향 확률 모델 없음(M04에서),,,,,,,,,,,,,
samsung,20,current_ridge_raw,all,evaluation,469,0.1459217936396169,0.1943611858185618,39325.923385876755,,,,방향 확률 모델 없음(M04에서),,,,,,,,,,,,,
samsung,20,current_ridge_calibrated,all,evaluation,469,0.12849495407238914,0.17050827009405542,34629.39012250888,,,,방향 확률 모델 없음(M04에서),0.6435477068585347,0.7931769722814499,0.40612936317543225,0.0,0.0,1.4854641654491334,,,,,,,
samsung,20,current_ridge_issued,all,evaluation,469,0.12849495407238914,0.17050827009405542,34629.39012250888,,,,방향 확률 모델 없음(M04에서),,,,0.0,,,발행 중심값. 신호 없음이면 현재가(0% 수익률),,,,,,
samsung,20,current_ridge_raw,0,oof_fold,375,0.0674893319147931,0.08640697063281438,,,,,,,,,,,,,0.06824564954022048,357,2017-03-15,2018-10-04,2018-11-02,2020-05-15
samsung,20,current_ridge_raw,1,oof_fold,375,0.05263598228013618,0.07289309462648695,,,,,,,,,,,,,0.05376636150402631,732,2017-03-15,2020-04-14,2020-05-18,2021-11-18
samsung,20,current_ridge_raw,2,oof_fold,375,0.05507233036364104,0.06852563171331241,,,,,,,,,,,,,0.05232851495504394,1107,2017-03-15,2021-10-22,2021-11-19,2023-06-15
samsung,20,current_ridge_raw,3,oof_fold,375,0.05948678442608215,0.07774222224695493,,,,,,,,,,,,,0.05625338339631123,1482,2017-03-15,2023-05-17,2023-06-16,2024-12-27
samsung,20,current_ridge_raw,4,oof_fold,375,0.1598643369974684,0.21001551313607253,,,,,,,,,,,,,0.14135025043868418,1857,2017-03-15,2024-11-29,2024-12-30,2026-08-12
