target,horizon,candidate,fold,evaluation_stage,n,mae,rmse,mae_krw,log_loss,brier,balanced_accuracy,metric_note,interval_score,interval_coverage,mean_width,issuance_rate,oof_slope,band_q,note,zero_mae,train_rows,train_start,train_end,test_start,test_end
sk_hynix,5,hold_current,all,evaluation,475,0.07864165896126131,0.1024279111533798,145958.919032101,,,,방향 확률 모델 없음(M04에서),,,,,,,,,,,,,
sk_hynix,5,current_ridge_raw,all,evaluation,475,0.07599918692986112,0.0997850280200413,141054.49094182224,,,,방향 확률 모델 없음(M04에서),,,,,,,,,,,,,
sk_hynix,5,current_ridge_calibrated,all,evaluation,475,0.07864165896126131,0.1024279111533798,145958.919032101,,,,방향 확률 모델 없음(M04에서),0.3788774546932186,0.751578947368421,0.24336774946047138,0.0,0.0,1.2697276677466187,,,,,,,
sk_hynix,5,current_ridge_issued,all,evaluation,475,0.07864165896126131,0.1024279111533798,145958.919032101,,,,방향 확률 모델 없음(M04에서),,,,0.0,,,발행 중심값. 신호 없음이면 현재가(0% 수익률),,,,,,
sk_hynix,5,current_ridge_raw,0,oof_fold,380,0.04271888218644182,0.055088703666905936,,,,,,,,,,,,,0.042311528937162335,376,2017-02-21,2018-10-05,2018-10-15,2020-04-28
sk_hynix,5,current_ridge_raw,1,oof_fold,380,0.03672606175852759,0.049534922812699944,,,,,,,,,,,,,0.03671585920721617,756,2017-02-21,2020-04-22,2020-04-29,2021-11-11
sk_hynix,5,current_ridge_raw,2,oof_fold,380,0.039183098795383155,0.049104184814118455,,,,,,,,,,,,,0.03855470778562278,1136,2017-02-21,2021-11-05,2021-11-12,2023-06-22
sk_hynix,5,current_ridge_raw,3,oof_fold,380,0.04699293677457733,0.060457677884318946,,,,,,,,,,,,,0.04794470221536676,1516,2017-02-21,2023-06-16,2023-06-23,2025-01-14
sk_hynix,5,current_ridge_raw,4,oof_fold,380,0.08120919076057935,0.10592985649331117,,,,,,,,,,,,,0.08407310579373593,1896,2017-02-21,2025-01-08,2025-01-15,2026-09-03
sk_hynix,20,hold_current,all,evaluation,469,0.19983432928842676,0.2700939502793038,370892.5151593201,,,,방향 확률 모델 없음(M04에서),,,,,,,,,,,,,
sk_hynix,20,current_ridge_raw,all,evaluation,469,0.19861794700450938,0.270430481406637,368634.9096403694,,,,방향 확률 모델 없음(M04에서),,,,,,,,,,,,,
sk_hynix,20,current_ridge_calibrated,all,evaluation,469,0.19983432928842676,0.2700939502793038,370892.5151593201,,,,방향 확률 모델 없음(M04에서),1.0783056991046942,0.6652452025586354,0.4982584385626743,0.0,0.0,1.341877105243607,,,,,,,
sk_hynix,20,current_ridge_issued,all,evaluation,469,0.19983432928842676,0.2700939502793038,370892.5151593201,,,,방향 확률 모델 없음(M04에서),,,,0.0,,,발행 중심값. 신호 없음이면 현재가(0% 수익률),,,,,,
sk_hynix,20,current_ridge_raw,0,oof_fold,375,0.0892980891495265,0.11239727165510048,,,,,,,,,,,,,0.08663566833912154,356,2017-03-15,2018-09-27,2018-10-29,2020-05-08
sk_hynix,20,current_ridge_raw,1,oof_fold,375,0.08020564917836837,0.10071741053979895,,,,,,,,,,,,,0.07814864503616402,731,2017-03-15,2020-04-07,2020-05-11,2021-11-11
sk_hynix,20,current_ridge_raw,2,oof_fold,375,0.08006981734346953,0.10429549945350111,,,,,,,,,,,,,0.07492802951063002,1106,2017-03-15,2021-10-15,2021-11-12,2023-06-15
sk_hynix,20,current_ridge_raw,3,oof_fold,375,0.08810795856761555,0.11280828930914541,,,,,,,,,,,,,0.09224525651230031,1481,2017-03-15,2023-05-17,2023-06-16,2024-12-27
sk_hynix,20,current_ridge_raw,4,oof_fold,375,0.21875912000569134,0.2944674266055869,,,,,,,,,,,,,0.2195757757025852,1856,2017-03-15,2024-11-29,2024-12-30,2026-08-12
