target,horizon,fold,test_start,test_end,train_start,train_end,train_rows,test_rows,excluded,inner_blocks_ok,inner_blocks
samsung,5,dev_01,2021-01-01,2021-06-30,2017-02-21,2020-12-23,919,123,,3,3
samsung,5,dev_02,2021-07-01,2021-12-31,2017-02-21,2021-06-24,1042,125,,3,3
samsung,5,dev_03,2022-01-01,2022-06-30,2017-02-21,2021-12-24,1167,108,,3,3
samsung,5,dev_04,2022-07-01,2022-12-31,2017-02-21,2022-06-24,1275,125,,3,3
samsung,5,dev_05,2023-01-01,2023-06-30,2017-02-21,2022-12-23,1400,123,,3,3
samsung,5,dev_06,2023-07-01,2023-12-31,2017-02-21,2023-06-26,1523,121,,3,3
samsung,5,dev_07,2024-01-01,2024-06-30,2017-02-21,2023-12-21,1644,121,,3,3
samsung,5,dev_08,2024-07-01,2024-12-31,2017-02-21,2024-06-24,1765,123,,3,3
samsung,5,dev_09,2025-01-01,2025-06-30,2017-02-21,2024-12-23,1888,117,,3,3
samsung,5,dev_10,2025-07-01,2025-09-03,2017-02-21,2025-06-24,2005,46,시험 행 46 < 60(자료 끝에서 잘린 폴드),3,3
samsung,5,lock,2025-09-04,2026-09-03,2017-02-21,2025-08-28,2051,226,,0,0
samsung,20,dev_01,2021-01-01,2021-06-30,2017-03-15,2020-12-02,889,123,,3,3
samsung,20,dev_02,2021-07-01,2021-12-31,2017-03-15,2021-06-03,1012,125,,3,3
samsung,20,dev_03,2022-01-01,2022-06-30,2017-03-15,2021-12-03,1137,108,,3,3
samsung,20,dev_04,2022-07-01,2022-12-31,2017-03-15,2022-06-02,1245,125,,3,3
samsung,20,dev_05,2023-01-01,2023-06-30,2017-03-15,2022-12-02,1370,123,,3,3
samsung,20,dev_06,2023-07-01,2023-12-31,2017-03-15,2023-06-02,1493,121,,3,3
samsung,20,dev_07,2024-01-01,2024-06-30,2017-03-15,2023-11-30,1614,121,,3,3
samsung,20,dev_08,2024-07-01,2024-12-31,2017-03-15,2024-05-31,1735,123,,3,3
samsung,20,dev_09,2025-01-01,2025-06-30,2017-03-15,2024-12-02,1858,117,,3,3
samsung,20,dev_10,2025-07-01,2025-08-12,2017-03-15,2025-05-30,1975,31,시험 행 31 < 60(자료 끝에서 잘린 폴드),3,3
samsung,20,lock,2025-08-13,2026-08-12,2017-03-15,2025-07-16,2006,226,,0,0
