target,horizon,fold,test_start,test_end,train_start,train_end,train_rows,test_rows,excluded,inner_blocks_ok,inner_blocks
sk_hynix,5,dev_01,2021-01-01,2021-06-30,2017-02-21,2020-12-23,923,123,,3,3
sk_hynix,5,dev_02,2021-07-01,2021-12-31,2017-02-21,2021-06-24,1046,125,,3,3
sk_hynix,5,dev_03,2022-01-01,2022-06-30,2017-02-21,2021-12-24,1171,103,,3,3
sk_hynix,5,dev_04,2022-07-01,2022-12-31,2017-02-21,2022-06-24,1274,125,,3,3
sk_hynix,5,dev_05,2023-01-01,2023-06-30,2017-02-21,2022-12-23,1399,123,,3,3
sk_hynix,5,dev_06,2023-07-01,2023-12-31,2017-02-21,2023-06-26,1522,121,,3,3
sk_hynix,5,dev_07,2024-01-01,2024-06-30,2017-02-21,2023-12-21,1643,121,,3,3
sk_hynix,5,dev_08,2024-07-01,2024-12-31,2017-02-21,2024-06-24,1764,123,,3,3
sk_hynix,5,dev_09,2025-01-01,2025-06-30,2017-02-21,2024-12-23,1887,117,,3,3
sk_hynix,5,dev_10,2025-07-01,2025-09-03,2017-02-21,2025-06-24,2004,46,시험 행 46 < 60(자료 끝에서 잘린 폴드),3,3
sk_hynix,5,lock,2025-09-04,2026-09-03,2017-02-21,2025-08-28,2050,226,,0,0
sk_hynix,20,dev_01,2021-01-01,2021-06-30,2017-03-15,2020-12-02,893,123,,3,3
sk_hynix,20,dev_02,2021-07-01,2021-12-31,2017-03-15,2021-06-03,1016,125,,3,3
sk_hynix,20,dev_03,2022-01-01,2022-06-30,2017-03-15,2021-12-03,1141,103,,3,3
sk_hynix,20,dev_04,2022-07-01,2022-12-31,2017-03-15,2022-06-02,1244,125,,3,3
sk_hynix,20,dev_05,2023-01-01,2023-06-30,2017-03-15,2022-12-02,1369,123,,3,3
sk_hynix,20,dev_06,2023-07-01,2023-12-31,2017-03-15,2023-06-02,1492,121,,3,3
sk_hynix,20,dev_07,2024-01-01,2024-06-30,2017-03-15,2023-11-30,1613,121,,3,3
sk_hynix,20,dev_08,2024-07-01,2024-12-31,2017-03-15,2024-05-31,1734,123,,3,3
sk_hynix,20,dev_09,2025-01-01,2025-06-30,2017-03-15,2024-12-02,1857,117,,3,3
sk_hynix,20,dev_10,2025-07-01,2025-08-12,2017-03-15,2025-05-30,1974,31,시험 행 31 < 60(자료 끝에서 잘린 폴드),3,3
sk_hynix,20,lock,2025-08-13,2026-08-12,2017-03-15,2025-07-16,2005,226,,0,0
