target,horizon,candidate,fold,evaluation_stage,n,mae,rmse,mae_calibrated,n_features,mean_slope,zero_mae
samsung,5,hold_current,dev_all,dev_common,1086,0.026513237376805977,0.03459695817962659,,,,
samsung,5,current_full,dev_all,dev_common,1086,0.026876870592926604,0.035052008342900384,0.02663720708523741,78,0.3305168598154611,
samsung,5,current_full,dev_01,dev_fold,123,0.0213421291995605,,,,,0.020425511239914422
samsung,5,current_full,dev_02,dev_fold,125,0.02316511121308807,,,,,0.02317588207769075
samsung,5,current_full,dev_03,dev_fold,108,0.024753894189188,,,,,0.023558580820918305
samsung,5,current_full,dev_04,dev_fold,125,0.02322970427846317,,,,,0.02345902434870286
samsung,5,current_full,dev_05,dev_fold,123,0.02277206164770447,,,,,0.021565951031904906
samsung,5,current_full,dev_06,dev_fold,121,0.022182280610687985,,,,,0.022377420750356043
samsung,5,current_full,dev_07,dev_fold,121,0.02599364353612367,,,,,0.026629143562935085
samsung,5,current_full,dev_08,dev_fold,123,0.043142157921703644,,,,,0.04194117180688839
samsung,5,current_full,dev_09,dev_fold,117,0.03550163448457036,,,,,0.03560835457832171
samsung,5,market_only,dev_all,dev_common,1086,0.026744568009742703,0.034865820692185,0.026806831459101357,59,0.552091094093168,
samsung,5,market_only,dev_01,dev_fold,123,0.02116527120608227,,,,,0.020425511239914422
samsung,5,market_only,dev_02,dev_fold,125,0.02317390507980458,,,,,0.02317588207769075
samsung,5,market_only,dev_03,dev_fold,108,0.02492902357136812,,,,,0.023558580820918305
samsung,5,market_only,dev_04,dev_fold,125,0.023199854662679698,,,,,0.02345902434870286
samsung,5,market_only,dev_05,dev_fold,123,0.021028465719009865,,,,,0.021565951031904906
samsung,5,market_only,dev_06,dev_fold,121,0.021925280783937632,,,,,0.022377420750356043
samsung,5,market_only,dev_07,dev_fold,121,0.02648644641816123,,,,,0.026629143562935085
samsung,5,market_only,dev_08,dev_fold,123,0.04333622905753053,,,,,0.04194117180688839
samsung,5,market_only,dev_09,dev_fold,117,0.03570548322859598,,,,,0.03560835457832171
samsung,5,no_macro,dev_all,dev_common,1086,0.0269596191472387,0.03524850181173027,0.026676797676973278,69,0.30933517299625257,
samsung,5,no_macro,dev_01,dev_fold,123,0.021147958612602727,,,,,0.020425511239914422
samsung,5,no_macro,dev_02,dev_fold,125,0.02305161987091904,,,,,0.02317588207769075
samsung,5,no_macro,dev_03,dev_fold,108,0.024928494751647285,,,,,0.023558580820918305
samsung,5,no_macro,dev_04,dev_fold,125,0.02321204561532523,,,,,0.02345902434870286
