target,horizon,candidate,fold,evaluation_stage,n,mae,rmse,mae_calibrated,n_features,mean_slope,zero_mae
sk_hynix,5,hold_current,dev_all,dev_common,1081,0.043516787731446405,0.0559697425189578,,,,
sk_hynix,5,current_full,dev_all,dev_common,1081,0.04334088794531299,0.05563120168296198,0.04321364788756111,75,0.523921944033312,
sk_hynix,5,current_full,dev_01,dev_fold,123,0.036729350370321476,,,,,0.03602202380212123
sk_hynix,5,current_full,dev_02,dev_fold,125,0.034443892241202444,,,,,0.03455672064383621
sk_hynix,5,current_full,dev_03,dev_fold,103,0.036469121922096774,,,,,0.03513953117989742
sk_hynix,5,current_full,dev_04,dev_fold,125,0.04111693470300623,,,,,0.04072752047081133
sk_hynix,5,current_full,dev_05,dev_fold,123,0.04271522868086716,,,,,0.04106075934931817
sk_hynix,5,current_full,dev_06,dev_fold,121,0.034736580953731354,,,,,0.03497051420075539
sk_hynix,5,current_full,dev_07,dev_fold,121,0.04342201405198737,,,,,0.04455269754891238
sk_hynix,5,current_full,dev_08,dev_fold,123,0.06174981869049477,,,,,0.06334412995074624
sk_hynix,5,current_full,dev_09,dev_fold,117,0.05834167542702794,,,,,0.060828433791064576
sk_hynix,5,market_only,dev_all,dev_common,1081,0.043066446751933087,0.05541522026852506,0.04303854190633,56,0.6807229482247092,
sk_hynix,5,market_only,dev_01,dev_fold,123,0.036195708544524544,,,,,0.03602202380212123
sk_hynix,5,market_only,dev_02,dev_fold,125,0.03395926300291028,,,,,0.03455672064383621
sk_hynix,5,market_only,dev_03,dev_fold,103,0.03673031556674927,,,,,0.03513953117989742
sk_hynix,5,market_only,dev_04,dev_fold,125,0.041407573857119157,,,,,0.04072752047081133
sk_hynix,5,market_only,dev_05,dev_fold,123,0.04099344572553409,,,,,0.04106075934931817
sk_hynix,5,market_only,dev_06,dev_fold,121,0.03465648290202023,,,,,0.03497051420075539
sk_hynix,5,market_only,dev_07,dev_fold,121,0.043241082075941885,,,,,0.04455269754891238
sk_hynix,5,market_only,dev_08,dev_fold,123,0.06202833143455795,,,,,0.06334412995074624
sk_hynix,5,market_only,dev_09,dev_fold,117,0.058131587384269774,,,,,0.060828433791064576
sk_hynix,5,no_macro,dev_all,dev_common,1081,0.04322297723789115,0.05559280726841607,0.04311743340796219,66,0.589802447180854,
sk_hynix,5,no_macro,dev_01,dev_fold,123,0.03624795069761397,,,,,0.03602202380212123
sk_hynix,5,no_macro,dev_02,dev_fold,125,0.03393176335439317,,,,,0.03455672064383621
sk_hynix,5,no_macro,dev_03,dev_fold,103,0.03666792551442172,,,,,0.03513953117989742
sk_hynix,5,no_macro,dev_04,dev_fold,125,0.04134146707633854,,,,,0.04072752047081133
sk_hynix,5,no_macro,dev_05,dev_fold,123,0.04268485523540834,,,,,0.04106075934931817
sk_hynix,5,no_macro,dev_06,dev_fold,121,0.03459852859139329,,,,,0.03497051420075539
sk_hynix,5,no_macro,dev_07,dev_fold,121,0.043221569138343525,,,,,0.04455269754891238
sk_hynix,5,no_macro,dev_08,dev_fold,123,0.061906550845040306,,,,,0.06334412995074624
sk_hynix,5,no_macro,dev_09,dev_fold,117,0.05810782524216731,,,,,0.060828433791064576
sk_hynix,5,full_plus_A,dev_all,dev_common,1081,0.043328286257138034,0.05558260421331905,0.043185915935176594,101,0.47410825165679743,
sk_hynix,5,full_plus_A,dev_01,dev_fold,123,0.036754998557723406,,,,,0.03602202380212123
sk_hynix,5,full_plus_A,dev_02,dev_fold,125,0.03434580058982801,,,,,0.03455672064383621
sk_hynix,5,full_plus_A,dev_03,dev_fold,103,0.03699752994539835,,,,,0.03513953117989742
sk_hynix,5,full_plus_A,dev_04,dev_fold,125,0.04094930592940431,,,,,0.04072752047081133
sk_hynix,5,full_plus_A,dev_05,dev_fold,123,0.04248417735464668,,,,,0.04106075934931817
sk_hynix,5,full_plus_A,dev_06,dev_fold,121,0.034621837995008856,,,,,0.03497051420075539
sk_hynix,5,full_plus_A,dev_07,dev_fold,121,0.043535053397183505,,,,,0.04455269754891238
sk_hynix,5,full_plus_A,dev_08,dev_fold,123,0.061383977416676165,,,,,0.06334412995074624
sk_hynix,5,full_plus_A,dev_09,dev_fold,117,0.058646254929557065,,,,,0.060828433791064576
sk_hynix,5,inner_selected,dev_all,dev_common,1081,0.04338010250358626,0.0556922771819198,0.0431431534301333,,,
sk_hynix,5,inner_selected,dev_01,dev_fold,123,0.036729350370321476,,,,,0.03602202380212123
sk_hynix,5,inner_selected,dev_02,dev_fold,125,0.03395926300291028,,,,,0.03455672064383621
sk_hynix,5,inner_selected,dev_03,dev_fold,103,0.03673031556674927,,,,,0.03513953117989742
sk_hynix,5,inner_selected,dev_04,dev_fold,125,0.04134146707633854,,,,,0.04072752047081133
sk_hynix,5,inner_selected,dev_05,dev_fold,123,0.04271522868086716,,,,,0.04106075934931817
sk_hynix,5,inner_selected,dev_06,dev_fold,121,0.034736580953731354,,,,,0.03497051420075539
sk_hynix,5,inner_selected,dev_07,dev_fold,121,0.043241082075941885,,,,,0.04455269754891238
sk_hynix,5,inner_selected,dev_08,dev_fold,123,0.06202833143455795,,,,,0.06334412995074624
sk_hynix,5,inner_selected,dev_09,dev_fold,117,0.058646254929557065,,,,,0.060828433791064576
sk_hynix,20,hold_current,dev_all,dev_common,1081,0.08512272944238433,0.1103556052450599,,,,
sk_hynix,20,current_full,dev_all,dev_common,1081,0.08784434084197093,0.11362619837608212,0.08558046754800647,75,0.3387003243291285,
sk_hynix,20,current_full,dev_01,dev_fold,123,0.06636997241284588,,,,,0.05207687834273718
sk_hynix,20,current_full,dev_02,dev_fold,125,0.08712663947262608,,,,,0.08424866237092567
sk_hynix,20,current_full,dev_03,dev_fold,103,0.07713272390291158,,,,,0.06726388167579234
sk_hynix,20,current_full,dev_04,dev_fold,125,0.06595927170851501,,,,,0.06375576615002164
sk_hynix,20,current_full,dev_05,dev_fold,123,0.10462848598637431,,,,,0.08911158888265804
sk_hynix,20,current_full,dev_06,dev_fold,121,0.03790529900129343,,,,,0.04385537744870051
sk_hynix,20,current_full,dev_07,dev_fold,121,0.10150508680890909,,,,,0.1114745876447106
sk_hynix,20,current_full,dev_08,dev_fold,123,0.13184074494579653,,,,,0.12732353907204216
sk_hynix,20,current_full,dev_09,dev_fold,117,0.11761918201757675,,,,,0.1262139709282469
sk_hynix,20,market_only,dev_all,dev_common,1081,0.08554778297583855,0.10900266282024533,0.08596491770856295,56,0.6010322190407841,
sk_hynix,20,market_only,dev_01,dev_fold,123,0.061821763162919624,,,,,0.05207687834273718
sk_hynix,20,market_only,dev_02,dev_fold,125,0.08349867673982296,,,,,0.08424866237092567
sk_hynix,20,market_only,dev_03,dev_fold,103,0.07906306816014791,,,,,0.06726388167579234
sk_hynix,20,market_only,dev_04,dev_fold,125,0.06822092829172476,,,,,0.06375576615002164
sk_hynix,20,market_only,dev_05,dev_fold,123,0.08658140002590746,,,,,0.08911158888265804
sk_hynix,20,market_only,dev_06,dev_fold,121,0.03822977750958349,,,,,0.04385537744870051
sk_hynix,20,market_only,dev_07,dev_fold,121,0.1016170288711164,,,,,0.1114745876447106
sk_hynix,20,market_only,dev_08,dev_fold,123,0.13214582651243853,,,,,0.12732353907204216
sk_hynix,20,market_only,dev_09,dev_fold,117,0.11914288412070433,,,,,0.1262139709282469
sk_hynix,20,no_macro,dev_all,dev_common,1081,0.08760011560501635,0.11365190186587192,0.08632280175788286,66,0.4113886799341696,
sk_hynix,20,no_macro,dev_01,dev_fold,123,0.06192867545887732,,,,,0.05207687834273718
sk_hynix,20,no_macro,dev_02,dev_fold,125,0.08417174043891856,,,,,0.08424866237092567
sk_hynix,20,no_macro,dev_03,dev_fold,103,0.07878143817482629,,,,,0.06726388167579234
sk_hynix,20,no_macro,dev_04,dev_fold,125,0.0677103155329077,,,,,0.06375576615002164
sk_hynix,20,no_macro,dev_05,dev_fold,123,0.1049107229218269,,,,,0.08911158888265804
sk_hynix,20,no_macro,dev_06,dev_fold,121,0.03813704974898767,,,,,0.04385537744870051
sk_hynix,20,no_macro,dev_07,dev_fold,121,0.1019016181197813,,,,,0.1114745876447106
sk_hynix,20,no_macro,dev_08,dev_fold,123,0.1320046463582537,,,,,0.12732353907204216
sk_hynix,20,no_macro,dev_09,dev_fold,117,0.11874772244037957,,,,,0.1262139709282469
sk_hynix,20,full_plus_A,dev_all,dev_common,1081,0.08871691207752232,0.11440990536572544,0.0855628457590703,101,0.28493249237358653,
sk_hynix,20,full_plus_A,dev_01,dev_fold,123,0.06760496436716175,,,,,0.05207687834273718
sk_hynix,20,full_plus_A,dev_02,dev_fold,125,0.08745348899288025,,,,,0.08424866237092567
sk_hynix,20,full_plus_A,dev_03,dev_fold,103,0.08206075555354829,,,,,0.06726388167579234
sk_hynix,20,full_plus_A,dev_04,dev_fold,125,0.06564470025014821,,,,,0.06375576615002164
sk_hynix,20,full_plus_A,dev_05,dev_fold,123,0.10368326524506542,,,,,0.08911158888265804
sk_hynix,20,full_plus_A,dev_06,dev_fold,121,0.03886785356762769,,,,,0.04385537744870051
sk_hynix,20,full_plus_A,dev_07,dev_fold,121,0.10149092209738031,,,,,0.1114745876447106
sk_hynix,20,full_plus_A,dev_08,dev_fold,123,0.13297927511518862,,,,,0.12732353907204216
sk_hynix,20,full_plus_A,dev_09,dev_fold,117,0.11884731232025196,,,,,0.1262139709282469
sk_hynix,20,inner_selected,dev_all,dev_common,1081,0.08735118036274823,0.11336635125670744,0.08619751797618054,,,
sk_hynix,20,inner_selected,dev_01,dev_fold,123,0.061821763162919624,,,,,0.05207687834273718
sk_hynix,20,inner_selected,dev_02,dev_fold,125,0.08349867673982296,,,,,0.08424866237092567
sk_hynix,20,inner_selected,dev_03,dev_fold,103,0.07906306816014791,,,,,0.06726388167579234
sk_hynix,20,inner_selected,dev_04,dev_fold,125,0.06822092829172476,,,,,0.06375576615002164
sk_hynix,20,inner_selected,dev_05,dev_fold,123,0.10462848598637431,,,,,0.08911158888265804
sk_hynix,20,inner_selected,dev_06,dev_fold,121,0.03790529900129343,,,,,0.04385537744870051
sk_hynix,20,inner_selected,dev_07,dev_fold,121,0.10149092209738031,,,,,0.1114745876447106
sk_hynix,20,inner_selected,dev_08,dev_fold,123,0.13184074494579653,,,,,0.12732353907204216
sk_hynix,20,inner_selected,dev_09,dev_fold,117,0.11761918201757675,,,,,0.1262139709282469
