target,horizon,candidate,fold,evaluation_stage,n,mae,rmse,mae_calibrated,mae_issued,issuance_rate,mean_abs_raw,mean_train_rows,mean_slope,seconds_per_fold,zero_mae,train_rows,slope,issued,setting
sk_hynix,5,hold_current,dev_all,dev_common,1081,0.043516787731446405,0.0559697425189578,,,,,,,,,,,,
sk_hynix,5,a100_5y,dev_all,dev_common,1081,0.05172414178796208,0.08946613956473524,0.0433369953799219,0.0433369953799219,0.8888888888888888,0.026717003581730094,1152.3333333333333,0.045251979722905775,0.013493577776696637,,,,,
sk_hynix,5,a100_5y,dev_01,dev_fold,123,0.04354642456574004,,,,,,,,,0.03602202380212123,923,0.04315789558108131,True,a100_5y
sk_hynix,5,a100_5y,dev_02,dev_fold,125,0.04477654677696602,,,,,,,,,0.03455672064383621,1046,0.05059045826309993,True,a100_5y
sk_hynix,5,a100_5y,dev_03,dev_fold,103,0.03567299450546002,,,,,,,,,0.03513953117989742,1171,0.0,False,a100_5y
sk_hynix,5,a100_5y,dev_04,dev_fold,125,0.0403286831470698,,,,,,,,,0.04072752047081133,1186,0.004438771148143958,True,a100_5y
sk_hynix,5,a100_5y,dev_05,dev_fold,123,0.08278816530252633,,,,,,,,,0.04106075934931817,1209,0.017142942314010222,True,a100_5y
sk_hynix,5,a100_5y,dev_06,dev_fold,121,0.03709636087080812,,,,,,,,,0.03497051420075539,1211,0.01943594800156065,True,a100_5y
sk_hynix,5,a100_5y,dev_07,dev_fold,121,0.04705493240738321,,,,,,,,,0.04455269754891238,1209,0.024899743872057352,True,a100_5y
sk_hynix,5,a100_5y,dev_08,dev_fold,123,0.07117407324734466,,,,,,,,,0.06334412995074624,1209,0.026334444726994987,True,a100_5y
sk_hynix,5,a100_5y,dev_09,dev_fold,117,0.06090130810546023,,,,,,,,,0.060828433791064576,1207,0.2212676135992036,True,a100_5y
sk_hynix,5,a100_expanding,dev_all,dev_common,1081,0.052288492646720815,0.0958068954232575,0.04341026336699307,0.04341026336699307,0.7777777777777778,0.025366644329612126,1403.2222222222222,0.0483454754260082,0.011433166667605596,,,,,
sk_hynix,5,a100_expanding,dev_01,dev_fold,123,0.04354642456574004,,,,,,,,,0.03602202380212123,923,0.04315789558108131,True,a100_expanding
sk_hynix,5,a100_expanding,dev_02,dev_fold,125,0.04477654677696602,,,,,,,,,0.03455672064383621,1046,0.05059045826309993,True,a100_expanding
sk_hynix,5,a100_expanding,dev_03,dev_fold,103,0.03567299450546002,,,,,,,,,0.03513953117989742,1171,0.0,False,a100_expanding
sk_hynix,5,a100_expanding,dev_04,dev_fold,125,0.04075195558733861,,,,,,,,,0.04072752047081133,1274,0.004438771148143958,True,a100_expanding
sk_hynix,5,a100_expanding,dev_05,dev_fold,123,0.09391020229524052,,,,,,,,,0.04106075934931817,1399,0.0,False,a100_expanding
sk_hynix,5,a100_expanding,dev_06,dev_fold,121,0.0324158118633329,,,,,,,,,0.03497051420075539,1522,0.01689775527447757,True,a100_expanding
sk_hynix,5,a100_expanding,dev_07,dev_fold,121,0.048208646408345,,,,,,,,,0.04455269754891238,1643,0.019670278901576663,True,a100_expanding
sk_hynix,5,a100_expanding,dev_08,dev_fold,123,0.06801313299856883,,,,,,,,,0.06334412995074624,1764,0.019810982978015673,True,a100_expanding
sk_hynix,5,a100_expanding,dev_09,dev_fold,117,0.06094136246074489,,,,,,,,,0.060828433791064576,1887,0.2805431366876787,True,a100_expanding
sk_hynix,5,a1000_5y,dev_all,dev_common,1081,0.045020010321287204,0.06015484913075914,0.04338444838751109,0.04338444838751109,1.0,0.01275723001949302,1152.3333333333333,0.1825852379067638,0.01158239999980045,,,,,
sk_hynix,5,a1000_5y,dev_01,dev_fold,123,0.03763153199579485,,,,,,,,,0.03602202380212123,923,0.25121373547155634,True,a1000_5y
sk_hynix,5,a1000_5y,dev_02,dev_fold,125,0.03734881140806153,,,,,,,,,0.03455672064383621,1046,0.21869207224540974,True,a1000_5y
sk_hynix,5,a1000_5y,dev_03,dev_fold,103,0.034712465178249254,,,,,,,,,0.03513953117989742,1171,0.04112024371833384,True,a1000_5y
sk_hynix,5,a1000_5y,dev_04,dev_fold,125,0.03980152471110653,,,,,,,,,0.04072752047081133,1186,0.08585916247619009,True,a1000_5y
sk_hynix,5,a1000_5y,dev_05,dev_fold,123,0.05408995053306236,,,,,,,,,0.04106075934931817,1209,0.20530748226792056,True,a1000_5y
sk_hynix,5,a1000_5y,dev_06,dev_fold,121,0.03512310051301781,,,,,,,,,0.03497051420075539,1211,0.06668207930427707,True,a1000_5y
sk_hynix,5,a1000_5y,dev_07,dev_fold,121,0.04514310162806842,,,,,,,,,0.04455269754891238,1209,0.08221500157860288,True,a1000_5y
sk_hynix,5,a1000_5y,dev_08,dev_fold,123,0.06237917055943849,,,,,,,,,0.06334412995074624,1209,0.08233946265222458,True,a1000_5y
