target,horizon,candidate,fold,evaluation_stage,n,log_loss,brier,balanced_accuracy,accuracy,class_share_dev,metric_note,C,temperature,inner_log_loss,train_rows,train_class_share
samsung,5,logistic_direction,dev_all,dev_common,1086,1.0942773738758982,0.6557616920016538,0.4015028268143533,0.4300184162062615,"[0.3941, 0.2578, 0.3481]",3클래스 확률 모델. 가격 회귀의 부호 적중률과 섞지 않는다,,,,,
samsung,5,logistic_direction,dev_01,dev_fold,123,1.096015134099015,0.6662099087769087,0.36734693877551017,,,,0.003,2.0,1.0819613898696856,919,"[0.333, 0.2492, 0.4178]"
samsung,5,logistic_direction,dev_02,dev_fold,125,1.0702705590955992,0.6482955689529039,0.41143790849673206,,,,0.003,2.0,1.0965232600249881,1042,"[0.3378, 0.2562, 0.406]"
samsung,5,logistic_direction,dev_03,dev_fold,108,1.0837365934643697,0.6557619504656534,0.4280593958013313,,,,0.003,2.0,1.0835939113793338,1167,"[0.3393, 0.2545, 0.4062]"
samsung,5,logistic_direction,dev_04,dev_fold,125,1.0832197648206425,0.6560626074269906,0.39860325441720795,,,,0.003,2.0,1.0832506558294401,1275,"[0.3584, 0.2557, 0.3859]"
samsung,5,logistic_direction,dev_05,dev_fold,123,1.1766944043044185,0.654445306691557,0.5185539606592239,,,,0.003,1.5,1.0785236147376924,1400,"[0.36, 0.2586, 0.3814]"
samsung,5,logistic_direction,dev_06,dev_fold,121,1.0483910289228613,0.6316195996487465,0.4346560846560846,,,,0.003,2.0,1.1028895659259925,1523,"[0.3506, 0.262, 0.3874]"
samsung,5,logistic_direction,dev_07,dev_fold,121,1.0726127629624713,0.6484297455579298,0.41117210404840626,,,,0.003,2.0,1.090624519986904,1644,"[0.3528, 0.2603, 0.3869]"
samsung,5,logistic_direction,dev_08,dev_fold,123,1.1637507364879283,0.7044027583176701,0.3422115230300113,,,,0.003,2.0,1.0871893742220449,1765,"[0.3524, 0.2618, 0.3858]"
samsung,5,logistic_direction,dev_09,dev_fold,117,1.0498231864596608,0.6352310535924452,0.4224712107065048,,,,0.003,2.0,1.0952953408387407,1888,"[0.3649, 0.2574, 0.3776]"
