target,horizon,candidate,fold,evaluation_stage,n,interval_score,interval_coverage,mean_width,mean_width_over_sigma,coverage_low,width_low,coverage_mid,width_mid,coverage_high,width_high,q,resid_source,n_resid,mae_issued_center,mae_hold,issuance_rate,n_issued,n_held,mae_on_issued_days,hold_mae_on_issued_days
samsung,5,simple_inner_q,dev_all,dev_common,1086,0.12702775818443232,0.7983425414364641,0.08991854853424153,2.6193722077223307,0.7209944751381215,0.06405092853275295,0.8425414364640884,0.0870075585536056,0.8314917127071824,0.11869715851636604,,,,,,,,,,
samsung,5,simple_inner_q,dev_01,dev_fold,123,0.11664325351291653,0.9105691056910569,0.10065918539832695,,,,,,,,1.56434830089695,,,,,,,,,
samsung,5,simple_inner_q,dev_02,dev_fold,125,0.12467353231482063,0.8,0.08171080130545828,,,,,,,,1.482370411138469,,,,,,,,,
samsung,5,simple_inner_q,dev_03,dev_fold,108,0.11119632676101193,0.7592592592592593,0.0770930533221656,,,,,,,,1.3420467032957104,,,,,,,,,
samsung,5,simple_inner_q,dev_04,dev_fold,125,0.10938516010807627,0.856,0.088138959635852,,,,,,,,1.2531581666067941,,,,,,,,,
samsung,5,simple_inner_q,dev_05,dev_fold,123,0.1111667227799706,0.8373983739837398,0.07991378067597057,,,,,,,,1.2608055294204104,,,,,,,,,
samsung,5,simple_inner_q,dev_06,dev_fold,121,0.10478204654401027,0.768595041322314,0.06730989061536387,,,,,,,,1.2114282112932127,,,,,,,,,
samsung,5,simple_inner_q,dev_07,dev_fold,121,0.12263204593990987,0.7603305785123967,0.08574141096794181,,,,,,,,1.1690355219967097,,,,,,,,,
samsung,5,simple_inner_q,dev_08,dev_fold,123,0.18947103905259977,0.7235772357723578,0.12056212219544604,,,,,,,,1.2175904212166295,,,,,,,,,
samsung,5,simple_inner_q,dev_09,dev_fold,117,0.15250372194181944,0.7606837606837606,0.10714060241854852,,,,,,,,1.2832763927552955,,,,,,,,,
samsung,5,har_inner_q,dev_all,dev_common,1086,0.12531374667989917,0.7928176795580111,0.08519538243069506,2.643972664202137,0.7734806629834254,0.07790007620847078,0.8204419889502762,0.08270784705542962,0.7845303867403315,0.09497822402818477,,,,,,,,,,
samsung,5,har_inner_q,dev_01,dev_fold,123,0.11716118601743158,0.9186991869918699,0.1029663335824403,,,,,,,,1.6879984636915732,,,,,,,,,
samsung,5,har_inner_q,dev_02,dev_fold,125,0.1224905189868432,0.824,0.09293624446381486,,,,,,,,1.649003545462856,,,,,,,,,
samsung,5,har_inner_q,dev_03,dev_fold,108,0.10758392603951462,0.8148148148148148,0.08057267544401386,,,,,,,,1.419851558829798,,,,,,,,,
samsung,5,har_inner_q,dev_04,dev_fold,125,0.10532278149465098,0.8,0.07573301753335597,,,,,,,,1.2308095505713053,,,,,,,,,
samsung,5,har_inner_q,dev_05,dev_fold,123,0.10591354271207448,0.8536585365853658,0.07740821225213082,,,,,,,,1.3093029978320878,,,,,,,,,
samsung,5,har_inner_q,dev_06,dev_fold,121,0.10140647478997068,0.7851239669421488,0.06884071547381622,,,,,,,,1.2328421221481838,,,,,,,,,
samsung,5,har_inner_q,dev_07,dev_fold,121,0.12181041893312465,0.7520661157024794,0.07452012660692155,,,,,,,,1.2175951399642824,,,,,,,,,
samsung,5,har_inner_q,dev_08,dev_fold,123,0.19792763374849884,0.6178861788617886,0.09057775042412329,,,,,,,,1.3125825731881817,,,,,,,,,
samsung,5,har_inner_q,dev_09,dev_fold,117,0.14702963757800877,0.7692307692307693,0.10310157513287438,,,,,,,,1.5739492827445365,,,,,,,,,
samsung,5,simple_resid252,dev_all,dev_common,1086,0.12767198789549203,0.7937384898710865,0.0876551539648166,2.517691755073251,0.6961325966850829,0.058070461042064384,0.8370165745856354,0.08445708013923171,0.8480662983425414,0.1204379207131537,,,,,,,,,,
samsung,5,simple_resid252,dev_01,dev_fold,123,0.11664325351291653,0.9105691056910569,0.10065918539832695,,,,,,,,1.56434830089695,fallback_inner_q,0,,,,,,,
samsung,5,simple_resid252,dev_02,dev_fold,125,0.12761391316122855,0.704,0.05508197636936275,,,,,,,,0.9992790506573739,resid252,119,,,,,,,
samsung,5,simple_resid252,dev_03,dev_fold,108,0.11227303262732874,0.7222222222222222,0.06828606616118063,,,,,,,,1.188733433473911,resid252,244,,,,,,,
samsung,5,simple_resid252,dev_04,dev_fold,125,0.11221434085100127,0.872,0.09561315193431841,,,,,,,,1.3594261002913988,resid252,252,,,,,,,
samsung,5,simple_resid252,dev_05,dev_fold,123,0.11076050964267979,0.8292682926829268,0.0783496017544681,,,,,,,,1.2361273648216207,resid252,252,,,,,,,
samsung,5,simple_resid252,dev_06,dev_fold,121,0.10497871941123851,0.7603305785123967,0.06498201040501597,,,,,,,,1.1695315489521372,resid252,252,,,,,,,
samsung,5,simple_resid252,dev_07,dev_fold,121,0.12219763356291424,0.8016528925619835,0.09107657821408378,,,,,,,,1.2417775022851527,resid252,252,,,,,,,
samsung,5,simple_resid252,dev_08,dev_fold,123,0.18918584358815851,0.7560975609756098,0.12412836441156584,,,,,,,,1.2536068937455929,resid252,252,,,,,,,
samsung,5,simple_resid252,dev_09,dev_fold,117,0.15229828410145144,0.7777777777777778,0.10951070219739933,,,,,,,,1.3116642590358316,resid252,252,,,,,,,
samsung,5,gate_2of3,dev_all,abstention,1086,,,,,,,,,,,,,,0.026638397171634267,0.026513237376805977,0.6565377532228361,713,373,0.028677873840352468,0.028487237743320886
samsung,5,gate_3of3,dev_all,abstention,1086,,,,,,,,,,,,,,0.026484929873335547,0.026513237376805977,0.11141804788213629,121,965,0.02637507787063021,0.026629143562935085
samsung,5,always_issue,dev_all,abstention,1086,,,,,,,,,,,,,,0.02663472149542065,0.026513237376805977,1.0,1086,0,0.02663472149542065,0.026513237376805977
samsung,5,never_issue,dev_all,abstention,1086,,,,,,,,,,,,,,0.026513237376805977,0.026513237376805977,0.0,0,1086,,
samsung,20,simple_inner_q,dev_all,dev_common,1086,0.2420566688975068,0.8158379373848987,0.19176003336109615,2.800299601016076,0.6933701657458563,0.13779457617267324,0.8397790055248618,0.1894400980843086,0.914364640883978,0.24804542582630668,,,,,,,,,,
samsung,20,simple_inner_q,dev_01,dev_fold,123,0.20762227476543035,1.0,0.20762227476543035,,,,,,,,1.6133329088269128,,,,,,,,,
samsung,20,simple_inner_q,dev_02,dev_fold,125,0.21422590561265067,0.656,0.1436991287606377,,,,,,,,1.3034711028278512,,,,,,,,,
samsung,20,simple_inner_q,dev_03,dev_fold,108,0.2449958627186341,0.7870370370370371,0.17612096419373163,,,,,,,,1.532969244256804,,,,,,,,,
samsung,20,simple_inner_q,dev_04,dev_fold,125,0.24040455525970142,0.736,0.18320436878254104,,,,,,,,1.3023982348238252,,,,,,,,,
samsung,20,simple_inner_q,dev_05,dev_fold,123,0.2350695760561819,0.8292682926829268,0.19599357395108466,,,,,,,,1.5461024348876766,,,,,,,,,
samsung,20,simple_inner_q,dev_06,dev_fold,121,0.1727066224049426,0.9008264462809917,0.16263003912493149,,,,,,,,1.4634893594277456,,,,,,,,,
samsung,20,simple_inner_q,dev_07,dev_fold,121,0.29493008798754855,0.7768595041322314,0.19124192772429416,,,,,,,,1.3037376238677607,,,,,,,,,
samsung,20,simple_inner_q,dev_08,dev_fold,123,0.3338528717201196,0.7479674796747967,0.2508215592839985,,,,,,,,1.2665583620190757,,,,,,,,,
samsung,20,simple_inner_q,dev_09,dev_fold,117,0.23492426333257632,0.9145299145299145,0.214128937876159,,,,,,,,1.2823645041157066,,,,,,,,,
samsung,20,har_inner_q,dev_all,dev_common,1086,0.23748756680101527,0.8149171270718232,0.17458048538973853,2.7313355564398223,0.787292817679558,0.1655161678675112,0.8093922651933702,0.16950227971968387,0.8480662983425414,0.18872300858202049,,,,,,,,,,
samsung,20,har_inner_q,dev_01,dev_fold,123,0.22848888139516613,1.0,0.22848888139516613,,,,,,,,1.6729334581640904,,,,,,,,,
samsung,20,har_inner_q,dev_02,dev_fold,125,0.19876761848002134,0.848,0.17516130277334052,,,,,,,,1.377064006035183,,,,,,,,,
samsung,20,har_inner_q,dev_03,dev_fold,108,0.2463005713157869,0.7962962962962963,0.16408071125969717,,,,,,,,1.283478232995366,,,,,,,,,
samsung,20,har_inner_q,dev_04,dev_fold,125,0.2283242971002424,0.68,0.14858666275482585,,,,,,,,1.077148316452098,,,,,,,,,
samsung,20,har_inner_q,dev_05,dev_fold,123,0.2122346634964914,0.8211382113821138,0.17160962675498845,,,,,,,,1.2906159878457677,,,,,,,,,
samsung,20,har_inner_q,dev_06,dev_fold,121,0.16431496320582978,0.9338842975206612,0.1612194970657849,,,,,,,,1.282960160877006,,,,,,,,,
