target,horizon,candidate,fold,evaluation_stage,n,mae,note,mae_current_label,mae_calibrated,n_features,mean_train_rows,mean_slope,zero_mae,train_rows,slope
samsung,5,hold_current,dev_all,dev_common,1086,0.026514153678840243,패널 라벨(수정 종가),0.026513237376805977,,,,,,,
samsung,5,current,dev_all,dev_common,1086,0.02687252011203428,,,0.02663472149542065,78,,0.3312916362666071,,,
samsung,5,current,dev_01,dev_fold,123,0.021321296548760436,,,,,,,0.020425511239914422,,0.5411045968237199
samsung,5,current,dev_02,dev_fold,125,0.02316768355363102,,,,,,,0.02317588207769075,,0.36505619973079717
samsung,5,current,dev_03,dev_fold,108,0.024740008361445364,,,,,,,0.023558580820918305,,0.8138572915711084
samsung,5,current,dev_04,dev_fold,125,0.023231661966246174,,,,,,,0.02345902434870286,,0.0
samsung,5,current,dev_05,dev_fold,123,0.022778761169903884,,,,,,,0.021565951031904906,,0.0
samsung,5,current,dev_06,dev_fold,121,0.02218082935056946,,,,,,,0.022377420750356043,,0.19723075986889424
samsung,5,current,dev_07,dev_fold,121,0.02599745605855228,,,,,,,0.026629143562935085,,0.3393904520070894
samsung,5,current,dev_08,dev_fold,123,0.04312320473453577,,,,,,,0.04194117180688839,,0.4316866035370914
samsung,5,current,dev_09,dev_fold,117,0.035501572071804606,,,,,,,0.03560835457832171,,0.29329882286076353
samsung,5,single,dev_all,dev_common,1086,0.02693274112601481,,,0.02690826574256424,15,1884.5555555555557,0.5555555555555556,,,
samsung,5,single,dev_01,dev_fold,123,0.021502679796765848,,,,,,,0.020577006709356936,1401,1.0
samsung,5,single,dev_02,dev_fold,125,0.022408106578494378,,,,,,,0.02282003782946712,1524,1.0
samsung,5,single,dev_03,dev_fold,108,0.0248038362537355,,,,,,,0.023200446831265292,1649,1.0
samsung,5,single,dev_04,dev_fold,125,0.023714834217379868,,,,,,,0.023299820097567026,1757,0.0
samsung,5,single,dev_05,dev_fold,123,0.021724974195807708,,,,,,,0.02192857756984459,1882,0.0
samsung,5,single,dev_06,dev_fold,121,0.022502732238555874,,,,,,,0.0223701680982798,2005,0.0
samsung,5,single,dev_07,dev_fold,121,0.02739203484128538,,,,,,,0.027011781622463052,2126,1.0
samsung,5,single,dev_08,dev_fold,123,0.043251785179770234,,,,,,,0.04206103216578429,2247,1.0
samsung,5,single,dev_09,dev_fold,117,0.035303736009446966,,,,,,,0.035442997073687546,2370,0.0
samsung,5,pooled,dev_all,dev_common,1086,0.027271225321967338,,,0.026874584658199006,15,16958.333333333332,0.31655095764065266,,,
samsung,5,pooled,dev_01,dev_fold,123,0.022535240693678404,,,,,,,0.020577006709356936,12617,0.9416985139753864
samsung,5,pooled,dev_02,dev_fold,125,0.022514946667187466,,,,,,,0.02282003782946712,13724,0.41043276411001844
samsung,5,pooled,dev_03,dev_fold,108,0.024010425420655457,,,,,,,0.023200446831265292,14849,0.9139496138929563
samsung,5,pooled,dev_04,dev_fold,125,0.024667945558430184,,,,,,,0.023299820097567026,15809,0.0
samsung,5,pooled,dev_05,dev_fold,123,0.022178341031287647,,,,,,,0.02192857756984459,16934,0.0
samsung,5,pooled,dev_06,dev_fold,121,0.022784042841056243,,,,,,,0.0223701680982798,18041,0.0
samsung,5,pooled,dev_07,dev_fold,121,0.02772072573232799,,,,,,,0.027011781622463052,19122,0.0
samsung,5,pooled,dev_08,dev_fold,123,0.04365925109650871,,,,,,,0.04206103216578429,20211,0.5828777267875133
samsung,5,pooled,dev_09,dev_fold,117,0.035424169158996925,,,,,,,0.035442997073687546,21318,0.0
samsung,20,hold_current,dev_all,dev_common,1086,0.050197345188627465,패널 라벨(수정 종가),0.05006206151118869,,,,,,,
samsung,20,current,dev_all,dev_common,1086,0.054048122149700624,,,0.0508061794461286,78,,0.12661721298337034,,,
samsung,20,current,dev_01,dev_fold,123,0.03219876139711372,,,,,,,0.02443764540457775,,0.3592059330647214
samsung,20,current,dev_02,dev_fold,125,0.05122406931290488,,,,,,,0.0494481373447924,,0.07256216574360302
samsung,20,current,dev_03,dev_fold,108,0.06140604388198962,,,,,,,0.05511537872073959,,0.598857413877179
samsung,20,current,dev_04,dev_fold,125,0.05409439331273983,,,,,,,0.05359914257642141,,0.0
samsung,20,current,dev_05,dev_fold,123,0.05576386275610173,,,,,,,0.046202301301395514,,0.0
samsung,20,current,dev_06,dev_fold,121,0.03944543368503726,,,,,,,0.040052940593539185,,0.0
samsung,20,current,dev_07,dev_fold,121,0.05306124474734848,,,,,,,0.05453007980237695,,0.031325260835402526
samsung,20,current,dev_08,dev_fold,123,0.09174779761344751,,,,,,,0.07709427349915471,,0.07760414332942683
samsung,20,current,dev_09,dev_fold,117,0.04787957367090762,,,,,,,0.050582678256604424,,0.0
samsung,20,single,dev_all,dev_common,1086,0.053521853058825196,,,0.05422778981984196,15,1869.5555555555557,0.5377885798342124,,,
samsung,20,single,dev_01,dev_fold,123,0.031424113254916536,,,,,,,0.02447191874624306,1386,1.0
samsung,20,single,dev_02,dev_fold,125,0.050764790253883904,,,,,,,0.04870529639719579,1509,0.8400972185079113
samsung,20,single,dev_03,dev_fold,108,0.06600130184015762,,,,,,,0.05406719721235057,1634,1.0
