target,horizon,candidate,fold,evaluation_stage,n,mae,note,mae_current_label,mae_calibrated,n_features,mean_train_rows,mean_slope,zero_mae,train_rows,slope
sk_hynix,5,hold_current,dev_all,dev_common,1081,0.04353599415586636,패널 라벨(수정 종가),0.043516787731446405,,,,,,,
sk_hynix,5,current,dev_all,dev_common,1081,0.04334088794531299,,,0.04321364788756111,75,,0.523921944033312,,,
sk_hynix,5,current,dev_01,dev_fold,123,0.036729350370321476,,,,,,,0.03602202380212123,,1.0
sk_hynix,5,current,dev_02,dev_fold,125,0.034443892241202444,,,,,,,0.03455672064383621,,0.6357481794430513
sk_hynix,5,current,dev_03,dev_fold,103,0.036469121922096774,,,,,,,0.03513953117989742,,0.8117617913504755
sk_hynix,5,current,dev_04,dev_fold,125,0.04111693470300623,,,,,,,0.04072752047081133,,0.0
sk_hynix,5,current,dev_05,dev_fold,123,0.04271522868086716,,,,,,,0.04106075934931817,,0.0
sk_hynix,5,current,dev_06,dev_fold,121,0.034736580953731354,,,,,,,0.03497051420075539,,0.19633205588661373
sk_hynix,5,current,dev_07,dev_fold,121,0.04342201405198737,,,,,,,0.04455269754891238,,0.39469765453668293
sk_hynix,5,current,dev_08,dev_fold,123,0.06174981869049477,,,,,,,0.06334412995074624,,0.6767578150829852
sk_hynix,5,current,dev_09,dev_fold,117,0.05834167542702794,,,,,,,0.060828433791064576,,1.0
sk_hynix,5,single,dev_all,dev_common,1081,0.043507488717736804,,,0.04342443369300976,15,1886.5555555555557,0.6666666666666666,,,
sk_hynix,5,single,dev_01,dev_fold,123,0.03644937151215682,,,,,,,0.036022008781498256,1405,1.0
sk_hynix,5,single,dev_02,dev_fold,125,0.03375904697191481,,,,,,,0.034791233829828204,1528,1.0
sk_hynix,5,single,dev_03,dev_fold,103,0.036801599571513986,,,,,,,0.03499460053894004,1653,1.0
sk_hynix,5,single,dev_04,dev_fold,125,0.04130805195535286,,,,,,,0.040678093795656976,1758,0.0
sk_hynix,5,single,dev_05,dev_fold,123,0.04124071619709641,,,,,,,0.04120182255059953,1883,0.0
sk_hynix,5,single,dev_06,dev_fold,121,0.03502296438670988,,,,,,,0.034971280144983914,2006,0.0
sk_hynix,5,single,dev_07,dev_fold,121,0.0436577808482029,,,,,,,0.04460934978323874,2127,1.0
sk_hynix,5,single,dev_08,dev_fold,123,0.06378591946852911,,,,,,,0.0634164740198001,2248,1.0
sk_hynix,5,single,dev_09,dev_fold,117,0.05927969338296939,,,,,,,0.06065201789911704,2371,1.0
sk_hynix,5,pooled,dev_all,dev_common,1081,0.043880608566548546,,,0.04370699623949185,15,16958.333333333332,0.47116446857537014,,,
sk_hynix,5,pooled,dev_01,dev_fold,123,0.0373662608059136,,,,,,,0.036022008781498256,12617,0.8900351463073121
sk_hynix,5,pooled,dev_02,dev_fold,125,0.03392236777259578,,,,,,,0.034791233829828204,13724,0.5453646401153867
sk_hynix,5,pooled,dev_03,dev_fold,103,0.03644045237098772,,,,,,,0.03499460053894004,14849,1.0
sk_hynix,5,pooled,dev_04,dev_fold,125,0.042658859080951184,,,,,,,0.040678093795656976,15809,0.0
sk_hynix,5,pooled,dev_05,dev_fold,123,0.04143419350947535,,,,,,,0.04120182255059953,16934,0.0
sk_hynix,5,pooled,dev_06,dev_fold,121,0.03577237165858774,,,,,,,0.034971280144983914,18041,0.0
sk_hynix,5,pooled,dev_07,dev_fold,121,0.04336071695749662,,,,,,,0.04460934978323874,19122,0.06917982994225282
sk_hynix,5,pooled,dev_08,dev_fold,123,0.06414193424508781,,,,,,,0.0634164740198001,20211,1.0
sk_hynix,5,pooled,dev_09,dev_fold,117,0.059417952085889146,,,,,,,0.06065201789911704,21318,0.7359006008133794
sk_hynix,20,hold_current,dev_all,dev_common,1081,0.08547635231954642,패널 라벨(수정 종가),0.08512272944238433,,,,,,,
sk_hynix,20,current,dev_all,dev_common,1081,0.08784434084197093,,,0.08558046754800647,75,,0.3387003243291285,,,
sk_hynix,20,current,dev_01,dev_fold,123,0.06636997241284588,,,,,,,0.05207687834273718,,0.6613162750316132
sk_hynix,20,current,dev_02,dev_fold,125,0.08712663947262608,,,,,,,0.08424866237092567,,0.2406910000984064
