target,cell,horizon,comparison,metric,window,delta,common_n,calibrated,ci_lo,ci_hi,block
samsung,open,1,trailing_q_w250 - current,interval_score,selection,-0.00043590542687247844,572,True,-0.000942786326397513,6.71849278560695e-05,month
samsung,open,1,trailing_q_w250 - current,interval_score,selection,-0.00043590542687247844,572,True,-0.0009706506398333023,4.442337939793415e-05,contiguous_20
samsung,open,1,trailing_q_w250 - current,interval_coverage,selection,-0.04895104895104896,572,True,-0.07030186390752251,-0.028951723588168804,month
samsung,open,1,conformal_w250 - current,interval_score,selection,-0.00043468141918162075,572,True,-0.0009119810743913587,3.372371285404155e-05,month
samsung,open,1,conformal_w250 - current,interval_score,selection,-0.00043468141918162075,572,True,-0.0009384439763353538,1.8315219946300576e-05,contiguous_20
samsung,open,1,conformal_w250 - current,interval_coverage,selection,-0.045454545454545414,572,True,-0.06533575317604357,-0.02758501988248556,month
samsung,open,1,trailing_q_w500 - current,interval_score,selection,-0.00036981646293619635,572,True,-0.0007592381087881947,1.6846043743614394e-05,month
samsung,open,1,trailing_q_w500 - current,interval_score,selection,-0.00036981646293619635,572,True,-0.0007630835946255553,-8.062593253287536e-06,contiguous_20
samsung,open,1,trailing_q_w500 - current,interval_coverage,selection,-0.036713286713286664,572,True,-0.05316003735528853,-0.02162094819071564,month
samsung,open,1,conformal_w500 - current,interval_score,selection,-0.0003385093445684507,572,True,-0.0007162314394554953,3.656442832888153e-05,month
samsung,open,1,conformal_w500 - current,interval_score,selection,-0.0003385093445684507,572,True,-0.0007167357937546987,1.7220037698396397e-05,contiguous_20
samsung,open,1,conformal_w500 - current,interval_coverage,selection,-0.034965034965035,572,True,-0.05045960661205674,-0.020370622242649922,month
samsung,open,1,aci_g0.005_w250 - current,interval_score,selection,-0.0004842822070772591,572,True,-0.0010937435233542147,3.206914770708831e-05,month
samsung,open,1,aci_g0.005_w250 - current,interval_score,selection,-0.0004842822070772591,572,True,-0.0011870795572734697,7.34442445156158e-05,contiguous_20
samsung,open,1,aci_g0.005_w250 - current,interval_coverage,selection,-0.05594405594405594,572,True,-0.08167644416658065,-0.03278539493293596,month
samsung,open,1,aci_g0.005_w500 - current,interval_score,selection,-0.000405818131011727,572,True,-0.0009044298104237121,7.469923439540884e-05,month
samsung,open,1,aci_g0.005_w500 - current,interval_score,selection,-0.000405818131011727,572,True,-0.0009239926331267841,5.427093578810593e-05,contiguous_20
samsung,open,1,aci_g0.005_w500 - current,interval_coverage,selection,-0.05069930069930073,572,True,-0.0692571317987615,-0.033391915641476255,month
samsung,open,1,aci_g0.02_w250 - current,interval_score,selection,-0.00039640153323551103,572,True,-0.0011801417027323931,0.0003186524642515762,month
samsung,open,1,aci_g0.02_w250 - current,interval_score,selection,-0.00039640153323551103,572,True,-0.0014149959654464828,0.0003677756397071654,contiguous_20
samsung,open,1,aci_g0.02_w250 - current,interval_coverage,selection,-0.04895104895104896,572,True,-0.07457889537217122,-0.02617687031395368,month
samsung,open,1,aci_g0.02_w500 - current,interval_score,selection,-0.00036349757640297473,572,True,-0.0010777123311744834,0.00024008004984747737,month
samsung,open,1,aci_g0.02_w500 - current,interval_score,selection,-0.00036349757640297473,572,True,-0.0012623350086984624,0.00029679565955448723,contiguous_20
samsung,open,1,aci_g0.02_w500 - current,interval_coverage,selection,-0.04895104895104896,572,True,-0.07325940478589262,-0.026858857316045558,month
samsung,open,1,trailing_q_w250 - current,interval_score,evaluation,-0.001983917809804922,573,True,-0.0036849471872172006,-0.0007374667488154464,month
samsung,open,1,trailing_q_w250 - current,interval_score,evaluation,-0.001983917809804922,573,True,-0.003189647548274841,-0.0005788173873010512,contiguous_20
samsung,open,1,trailing_q_w250 - current,interval_coverage,evaluation,-0.04712041884816753,573,True,-0.06937570501974047,-0.027396635336466354,month
samsung,open,1,conformal_w250 - current,interval_score,evaluation,-0.0018230792287227356,573,True,-0.00337811132535996,-0.0006495339031845608,month
samsung,open,1,conformal_w250 - current,interval_score,evaluation,-0.0018230792287227356,573,True,-0.0029330431507353476,-0.0005023878579517781,contiguous_20
samsung,open,1,conformal_w250 - current,interval_coverage,evaluation,-0.041884816753926635,573,True,-0.06271809146662899,-0.02321325120957477,month
samsung,open,1,trailing_q_w500 - current,interval_score,evaluation,-0.002368212370570463,573,True,-0.00454621615390219,-0.000840568641184931,month
samsung,open,1,trailing_q_w500 - current,interval_score,evaluation,-0.002368212370570463,573,True,-0.0038724850745361973,-0.0007414721956764081,contiguous_20
samsung,open,1,trailing_q_w500 - current,interval_coverage,evaluation,-0.05235602094240832,573,True,-0.0742049469964664,-0.032983257641291876,month
samsung,open,1,conformal_w500 - current,interval_score,evaluation,-0.002321209989145301,573,True,-0.0044552136743101,-0.000832173502191924,month
samsung,open,1,conformal_w500 - current,interval_score,evaluation,-0.002321209989145301,573,True,-0.003801454624034707,-0.0007249107204622021,contiguous_20
samsung,open,1,conformal_w500 - current,interval_coverage,evaluation,-0.05235602094240832,573,True,-0.0742049469964664,-0.032983257641291876,month
samsung,open,1,aci_g0.005_w250 - current,interval_score,evaluation,-0.0020247455898628254,573,True,-0.004188817105901488,-0.0005075636854998773,month
samsung,open,1,aci_g0.005_w250 - current,interval_score,evaluation,-0.0020247455898628254,573,True,-0.0034491261205154143,-0.0003657905539979484,contiguous_20
samsung,open,1,aci_g0.005_w250 - current,interval_coverage,evaluation,-0.04712041884816753,573,True,-0.06977034400030957,-0.026356582468957182,month
samsung,open,1,aci_g0.005_w500 - current,interval_score,evaluation,-0.002463326897535818,573,True,-0.0049706662736199204,-0.0007287404698715984,month
samsung,open,1,aci_g0.005_w500 - current,interval_score,evaluation,-0.002463326897535818,573,True,-0.004125947362641997,-0.0006240350678785307,contiguous_20
samsung,open,1,aci_g0.005_w500 - current,interval_coverage,evaluation,-0.05061082024432806,573,True,-0.07190664085765332,-0.03185699990618847,month
samsung,open,1,aci_g0.02_w250 - current,interval_score,evaluation,-0.002136747292857377,573,True,-0.00492228792438037,-0.0001993284918539231,month
samsung,open,1,aci_g0.02_w250 - current,interval_score,evaluation,-0.002136747292857377,573,True,-0.003953751178516256,-9.319906597907049e-05,contiguous_20
samsung,open,1,aci_g0.02_w250 - current,interval_coverage,evaluation,-0.055846422338568846,573,True,-0.08152451197870444,-0.03304307937774227,month
samsung,open,1,aci_g0.02_w500 - current,interval_score,evaluation,-0.0023058845739046606,573,True,-0.005200808069694941,-0.0003255560511536685,month
samsung,open,1,aci_g0.02_w500 - current,interval_score,evaluation,-0.0023058845739046606,573,True,-0.004191058768389208,-0.0002211188202025656,contiguous_20
samsung,open,1,aci_g0.02_w500 - current,interval_coverage,evaluation,-0.055846422338568846,573,True,-0.08084587690129089,-0.034011479591836674,month
samsung,open,1,trailing_q_w250 - current,interval_score,sequential_all,-0.0012105876062788452,1145,True,-0.002149672226262022,-0.00048146771772583234,month
samsung,open,1,trailing_q_w250 - current,interval_score,sequential_all,-0.0012105876062788452,1145,True,-0.0018621566048473248,-0.00043507019074300973,contiguous_20
samsung,open,1,trailing_q_w250 - current,interval_coverage,sequential_all,-0.048034934497816595,1145,True,-0.06277630415561453,-0.03417158764456013,month
samsung,open,1,conformal_w250 - current,interval_score,sequential_all,-0.001129486611205253,1145,True,-0.002009091297328172,-0.0004539029641347851,month
samsung,open,1,conformal_w250 - current,interval_score,sequential_all,-0.001129486611205253,1145,True,-0.0017474748026224108,-0.0004015993840189573,contiguous_20
samsung,open,1,conformal_w250 - current,interval_coverage,sequential_all,-0.04366812227074235,1145,True,-0.057051513583693744,-0.0306205031844796,month
samsung,open,1,trailing_q_w500 - current,interval_score,sequential_all,-0.001369887078721729,1145,True,-0.0025564947220572567,-0.0005204054518748268,month
samsung,open,1,trailing_q_w500 - current,interval_score,sequential_all,-0.001369887078721729,1145,True,-0.0021568740625745176,-0.0004774642828087781,contiguous_20
samsung,open,1,trailing_q_w500 - current,interval_coverage,sequential_all,-0.044541484716157154,1145,True,-0.05771059431524538,-0.031660879214049274,month
samsung,open,1,conformal_w500 - current,interval_score,sequential_all,-0.0013307254749986125,1145,True,-0.002499582055944812,-0.0005034134223976437,month
samsung,open,1,conformal_w500 - current,interval_score,sequential_all,-0.0013307254749986125,1145,True,-0.0021096444405538117,-0.0004549836354359212,contiguous_20
samsung,open,1,conformal_w500 - current,interval_coverage,sequential_all,-0.04366812227074235,1145,True,-0.056352450742894036,-0.03090036030307848,month
samsung,open,1,aci_g0.005_w250 - current,interval_score,sequential_all,-0.001255186589903573,1145,True,-0.0024341823147561704,-0.0003838529568768181,month
samsung,open,1,aci_g0.005_w250 - current,interval_score,sequential_all,-0.001255186589903573,1145,True,-0.002034634409387389,-0.0003309419537495621,contiguous_20
samsung,open,1,aci_g0.005_w250 - current,interval_coverage,sequential_all,-0.051528384279475925,1145,True,-0.06773881599095385,-0.03580562659846542,month
samsung,open,1,aci_g0.005_w500 - current,interval_score,sequential_all,-0.0014354709897176697,1145,True,-0.0027833371887544625,-0.00047425688471271487,month
samsung,open,1,aci_g0.005_w500 - current,interval_score,sequential_all,-0.0014354709897176697,1145,True,-0.0022911294544863863,-0.0004160247478545641,contiguous_20
samsung,open,1,aci_g0.005_w500 - current,interval_coverage,sequential_all,-0.05065502183406112,1145,True,-0.06376017421105237,-0.037849620219119855,month
samsung,open,1,aci_g0.02_w250 - current,interval_score,sequential_all,-0.0012673343893606893,1145,True,-0.002744503238963651,-0.00018335297962161618,month
samsung,open,1,aci_g0.02_w250 - current,interval_score,sequential_all,-0.0012673343893606893,1145,True,-0.0022590266979114287,-9.171303816915265e-05,contiguous_20
samsung,open,1,aci_g0.02_w250 - current,interval_coverage,sequential_all,-0.05240174672489084,1145,True,-0.06964843714890899,-0.03551601333414724,month
