target,cell,horizon,comparison,metric,window,delta,common_n,calibrated,ci_lo,ci_hi,block
sk_hynix,open,1,trailing_q_w250 - current,interval_score,selection,0.0001388958987540486,572,True,-0.00012272993969368533,0.00040061185408110894,month
sk_hynix,open,1,trailing_q_w250 - current,interval_score,selection,0.0001388958987540486,572,True,-0.00012899208625345983,0.0004112951450328962,contiguous_20
sk_hynix,open,1,trailing_q_w250 - current,interval_coverage,selection,0.006993006993006978,572,True,-0.0017361865942029458,0.016722563439469845,month
sk_hynix,open,1,conformal_w250 - current,interval_score,selection,0.00017988293244883185,572,True,-6.332169833594694e-05,0.00042828107335916274,month
sk_hynix,open,1,conformal_w250 - current,interval_score,selection,0.00017988293244883185,572,True,-7.399002039016082e-05,0.0004255474456611388,contiguous_20
sk_hynix,open,1,conformal_w250 - current,interval_coverage,selection,0.00874125874125864,572,True,0.0,0.018675721561969394,month
sk_hynix,open,1,trailing_q_w500 - current,interval_score,selection,0.00012059825237841088,572,True,-2.4281530728479498e-06,0.0002657313623762871,month
sk_hynix,open,1,trailing_q_w500 - current,interval_score,selection,0.00012059825237841088,572,True,2.0662911933756485e-05,0.00023687806694919927,contiguous_20
sk_hynix,open,1,trailing_q_w500 - current,interval_coverage,selection,0.0034965034965034336,572,True,0.0,0.0089126559714795,month
sk_hynix,open,1,conformal_w500 - current,interval_score,selection,0.00012642908107709917,572,True,-1.500119290447345e-05,0.00028635562644094243,month
sk_hynix,open,1,conformal_w500 - current,interval_score,selection,0.00012642908107709917,572,True,9.519442344232898e-06,0.0002553804089446941,contiguous_20
sk_hynix,open,1,conformal_w500 - current,interval_coverage,selection,0.0034965034965034336,572,True,0.0,0.0089126559714795,month
sk_hynix,open,1,aci_g0.005_w250 - current,interval_score,selection,0.00030121443944103126,572,True,-4.8347193188951595e-05,0.000678270160145502,month
sk_hynix,open,1,aci_g0.005_w250 - current,interval_score,selection,0.00030121443944103126,572,True,-4.1116250986124825e-05,0.0006346566448525415,contiguous_20
sk_hynix,open,1,aci_g0.005_w250 - current,interval_coverage,selection,0.00874125874125864,572,True,-0.005226708867687097,0.021623487392718153,month
sk_hynix,open,1,aci_g0.005_w500 - current,interval_score,selection,0.00034267640516490855,572,True,8.4007615103272e-05,0.0006320715858735031,month
sk_hynix,open,1,aci_g0.005_w500 - current,interval_score,selection,0.00034267640516490855,572,True,9.8188284698957e-05,0.0006008224804483454,contiguous_20
sk_hynix,open,1,aci_g0.005_w500 - current,interval_coverage,selection,0.012237762237762184,572,True,0.0032731887081074024,0.023210918071290484,month
sk_hynix,open,1,aci_g0.02_w250 - current,interval_score,selection,0.0004611839809498691,572,True,-0.00035671489546147065,0.0012788439684108244,month
sk_hynix,open,1,aci_g0.02_w250 - current,interval_score,selection,0.0004611839809498691,572,True,-0.0003248099889245468,0.001201752407593813,contiguous_20
sk_hynix,open,1,aci_g0.02_w250 - current,interval_coverage,selection,0.00874125874125864,572,True,-0.012774306435901212,0.02977232924693518,month
sk_hynix,open,1,aci_g0.02_w500 - current,interval_score,selection,0.0005153672874924685,572,True,-0.00016932673058065795,0.0012623585212246007,month
sk_hynix,open,1,aci_g0.02_w500 - current,interval_score,selection,0.0005153672874924685,572,True,-0.0001735103051353127,0.0011492673234612181,contiguous_20
sk_hynix,open,1,aci_g0.02_w500 - current,interval_coverage,selection,0.006993006993006978,572,True,-0.01234677155031132,0.025642123287671244,month
sk_hynix,open,1,trailing_q_w250 - current,interval_score,evaluation,-0.00037710706038244406,573,True,-0.0014754523890623784,0.0004816292838901227,month
