target,horizon,candidate,fold,evaluation_stage,n,mae,mae_calibrated,n_features,mean_slope,zero_mae,corr_raw,metric_note
samsung,5,hold_current,dev_all,dev_common,1086,0.026513237376805977,,,,,,
samsung,5,current_full,dev_all,dev_common,1086,0.02687252011203428,0.02663472149542065,78,0.3312916362666071,,,
samsung,5,current_full,dev_01,dev_fold,123,0.021321296548760436,,,,0.020425511239914422,,
samsung,5,current_full,dev_02,dev_fold,125,0.02316768355363102,,,,0.02317588207769075,,
samsung,5,current_full,dev_03,dev_fold,108,0.024740008361445364,,,,0.023558580820918305,,
samsung,5,current_full,dev_04,dev_fold,125,0.023231661966246174,,,,0.02345902434870286,,
samsung,5,current_full,dev_05,dev_fold,123,0.022778761169903884,,,,0.021565951031904906,,
samsung,5,current_full,dev_06,dev_fold,121,0.02218082935056946,,,,0.022377420750356043,,
samsung,5,current_full,dev_07,dev_fold,121,0.02599745605855228,,,,0.026629143562935085,,
samsung,5,current_full,dev_08,dev_fold,123,0.04312320473453577,,,,0.04194117180688839,,
samsung,5,current_full,dev_09,dev_fold,117,0.035501572071804606,,,,0.03560835457832171,,
samsung,5,full_plus_D,dev_all,dev_common,1086,0.0268808409218779,0.026590890571363265,96,0.3045193595149758,,,
samsung,5,full_plus_D,dev_01,dev_fold,123,0.021174162903889255,,,,0.020425511239914422,,
samsung,5,full_plus_D,dev_02,dev_fold,125,0.023074207993804552,,,,0.02317588207769075,,
samsung,5,full_plus_D,dev_03,dev_fold,108,0.024733367684919058,,,,0.023558580820918305,,
samsung,5,full_plus_D,dev_04,dev_fold,125,0.023226384983103556,,,,0.02345902434870286,,
samsung,5,full_plus_D,dev_05,dev_fold,123,0.02281690593812133,,,,0.021565951031904906,,
samsung,5,full_plus_D,dev_06,dev_fold,121,0.022082781551271833,,,,0.022377420750356043,,
samsung,5,full_plus_D,dev_07,dev_fold,121,0.026119051097809744,,,,0.026629143562935085,,
samsung,5,full_plus_D,dev_08,dev_fold,123,0.04312809015771241,,,,0.04194117180688839,,
samsung,5,full_plus_D,dev_09,dev_fold,117,0.035775530782648106,,,,0.03560835457832171,,
samsung,5,decomposed,dev_all,dev_common,1086,0.026779331447366318,0.026582697091984808,78,0.33599114695912735,,,
samsung,5,decomposed,dev_01,dev_fold,123,0.021080673433725276,,,,0.020425511239914422,,
samsung,5,decomposed,dev_02,dev_fold,125,0.023219213619785184,,,,0.02317588207769075,,
samsung,5,decomposed,dev_03,dev_fold,108,0.02452093600429257,,,,0.023558580820918305,,
samsung,5,decomposed,dev_04,dev_fold,125,0.02316731067781037,,,,0.02345902434870286,,
samsung,5,decomposed,dev_05,dev_fold,123,0.022716031183219604,,,,0.021565951031904906,,
samsung,5,decomposed,dev_06,dev_fold,121,0.022108890872539137,,,,0.022377420750356043,,
samsung,5,decomposed,dev_07,dev_fold,121,0.025955677530380087,,,,0.026629143562935085,,
samsung,5,decomposed,dev_08,dev_fold,123,0.0428423227944965,,,,0.04194117180688839,,
samsung,5,decomposed,dev_09,dev_fold,117,0.03558430921210482,,,,0.03560835457832171,,
samsung,5,overnight_leg,dev_all,dev_common_leg,1086,0.01880441797767917,0.018844169293500978,78,0.6797996301423832,0.019068792425877473,0.0896698356109014,로그 수익률 단위(성분 진단)
samsung,5,intraday_leg,dev_all,dev_common_leg,1086,0.01992584240221348,0.019971297563772604,78,0.6807450027421458,0.020195325514617155,0.047640005943144485,로그 수익률 단위(성분 진단)
samsung,20,hold_current,dev_all,dev_common,1086,0.05006206151118869,,,,,,
samsung,20,current_full,dev_all,dev_common,1086,0.054048122149700624,0.0508061794461286,78,0.12661721298337034,,,
samsung,20,current_full,dev_01,dev_fold,123,0.03219876139711372,,,,0.02443764540457775,,
samsung,20,current_full,dev_02,dev_fold,125,0.05122406931290488,,,,0.0494481373447924,,
samsung,20,current_full,dev_03,dev_fold,108,0.06140604388198962,,,,0.05511537872073959,,
samsung,20,current_full,dev_04,dev_fold,125,0.05409439331273983,,,,0.05359914257642141,,
samsung,20,current_full,dev_05,dev_fold,123,0.05576386275610173,,,,0.046202301301395514,,
samsung,20,current_full,dev_06,dev_fold,121,0.03944543368503726,,,,0.040052940593539185,,
samsung,20,current_full,dev_07,dev_fold,121,0.05306124474734848,,,,0.05453007980237695,,
samsung,20,current_full,dev_08,dev_fold,123,0.09174779761344751,,,,0.07709427349915471,,
samsung,20,current_full,dev_09,dev_fold,117,0.04787957367090762,,,,0.050582678256604424,,
samsung,20,full_plus_D,dev_all,dev_common,1086,0.05422629484383694,0.05040727718277512,96,0.05995905463196649,,,
samsung,20,full_plus_D,dev_01,dev_fold,123,0.030456600067415133,,,,0.02443764540457775,,
samsung,20,full_plus_D,dev_02,dev_fold,125,0.050972349405056926,,,,0.0494481373447924,,
samsung,20,full_plus_D,dev_03,dev_fold,108,0.060584870234939664,,,,0.05511537872073959,,
samsung,20,full_plus_D,dev_04,dev_fold,125,0.0543188806166936,,,,0.05359914257642141,,
samsung,20,full_plus_D,dev_05,dev_fold,123,0.056483293137465945,,,,0.046202301301395514,,
samsung,20,full_plus_D,dev_06,dev_fold,121,0.03933840298917569,,,,0.040052940593539185,,
samsung,20,full_plus_D,dev_07,dev_fold,121,0.05324216387144973,,,,0.05453007980237695,,
samsung,20,full_plus_D,dev_08,dev_fold,123,0.09447611083202476,,,,0.07709427349915471,,
samsung,20,full_plus_D,dev_09,dev_fold,117,0.04845102030461129,,,,0.050582678256604424,,
samsung,20,decomposed,dev_all,dev_common,1086,0.0533107504841486,0.050437258527890196,78,0.07891944787006502,,,
samsung,20,decomposed,dev_01,dev_fold,123,0.03056394696670259,,,,0.02443764540457775,,
samsung,20,decomposed,dev_02,dev_fold,125,0.05082962593674816,,,,0.0494481373447924,,
samsung,20,decomposed,dev_03,dev_fold,108,0.059828243605261955,,,,0.05511537872073959,,
samsung,20,decomposed,dev_04,dev_fold,125,0.05379347606849281,,,,0.05359914257642141,,
samsung,20,decomposed,dev_05,dev_fold,123,0.054785448455807156,,,,0.046202301301395514,,
samsung,20,decomposed,dev_06,dev_fold,121,0.03949008531508628,,,,0.040052940593539185,,
samsung,20,decomposed,dev_07,dev_fold,121,0.05291768226167167,,,,0.05453007980237695,,
