target,horizon,candidate,fold,evaluation_stage,n,mae,mae_calibrated,n_features,mean_slope,zero_mae
samsung,5,hold_current,dev_all,dev_common,1086,0.026513237376805977,,,,
samsung,5,current_full,dev_all,dev_common,1086,0.02687252011203428,0.02663472149542065,78,0.3312916362666071,
samsung,5,current_full,dev_01,dev_fold,123,0.021321296548760436,,,,0.020425511239914422
samsung,5,current_full,dev_02,dev_fold,125,0.02316768355363102,,,,0.02317588207769075
samsung,5,current_full,dev_03,dev_fold,108,0.024740008361445364,,,,0.023558580820918305
samsung,5,current_full,dev_04,dev_fold,125,0.023231661966246174,,,,0.02345902434870286
samsung,5,current_full,dev_05,dev_fold,123,0.022778761169903884,,,,0.021565951031904906
samsung,5,current_full,dev_06,dev_fold,121,0.02218082935056946,,,,0.022377420750356043
samsung,5,current_full,dev_07,dev_fold,121,0.02599745605855228,,,,0.026629143562935085
samsung,5,current_full,dev_08,dev_fold,123,0.04312320473453577,,,,0.04194117180688839
samsung,5,current_full,dev_09,dev_fold,117,0.035501572071804606,,,,0.03560835457832171
samsung,5,full_plus_E,dev_all,dev_common,1086,0.02702692620632334,0.026672007021955414,88,0.2592295154413459,
samsung,5,full_plus_E,dev_01,dev_fold,123,0.02202959135898644,,,,0.020425511239914422
samsung,5,full_plus_E,dev_02,dev_fold,125,0.023267115116614428,,,,0.02317588207769075
samsung,5,full_plus_E,dev_03,dev_fold,108,0.024893122126941756,,,,0.023558580820918305
samsung,5,full_plus_E,dev_04,dev_fold,125,0.023230270867880837,,,,0.02345902434870286
samsung,5,full_plus_E,dev_05,dev_fold,123,0.022693048976869096,,,,0.021565951031904906
samsung,5,full_plus_E,dev_06,dev_fold,121,0.022083713185606337,,,,0.022377420750356043
samsung,5,full_plus_E,dev_07,dev_fold,121,0.02594528494272797,,,,0.026629143562935085
samsung,5,full_plus_E,dev_08,dev_fold,123,0.04377894208897733,,,,0.04194117180688839
samsung,5,full_plus_E,dev_09,dev_fold,117,0.03549921376506527,,,,0.03560835457832171
samsung,20,hold_current,dev_all,dev_common,1086,0.05006206151118869,,,,
samsung,20,current_full,dev_all,dev_common,1086,0.054048122149700624,0.0508061794461286,78,0.12661721298337034,
samsung,20,current_full,dev_01,dev_fold,123,0.03219876139711372,,,,0.02443764540457775
samsung,20,current_full,dev_02,dev_fold,125,0.05122406931290488,,,,0.0494481373447924
samsung,20,current_full,dev_03,dev_fold,108,0.06140604388198962,,,,0.05511537872073959
samsung,20,current_full,dev_04,dev_fold,125,0.05409439331273983,,,,0.05359914257642141
samsung,20,current_full,dev_05,dev_fold,123,0.05576386275610173,,,,0.046202301301395514
samsung,20,current_full,dev_06,dev_fold,121,0.03944543368503726,,,,0.040052940593539185
samsung,20,current_full,dev_07,dev_fold,121,0.05306124474734848,,,,0.05453007980237695
samsung,20,current_full,dev_08,dev_fold,123,0.09174779761344751,,,,0.07709427349915471
samsung,20,current_full,dev_09,dev_fold,117,0.04787957367090762,,,,0.050582678256604424
samsung,20,full_plus_E,dev_all,dev_common,1086,0.054921482404866,0.05075202781340947,88,0.11073132124567661,
samsung,20,full_plus_E,dev_01,dev_fold,123,0.036037408998521786,,,,0.02443764540457775
samsung,20,full_plus_E,dev_02,dev_fold,125,0.051782029205932084,,,,0.0494481373447924
samsung,20,full_plus_E,dev_03,dev_fold,108,0.059742599665003275,,,,0.05511537872073959
samsung,20,full_plus_E,dev_04,dev_fold,125,0.054180199659965664,,,,0.05359914257642141
samsung,20,full_plus_E,dev_05,dev_fold,123,0.05539997663547205,,,,0.046202301301395514
samsung,20,full_plus_E,dev_06,dev_fold,121,0.03881738503371079,,,,0.040052940593539185
samsung,20,full_plus_E,dev_07,dev_fold,121,0.05383427144797185,,,,0.05453007980237695
samsung,20,full_plus_E,dev_08,dev_fold,123,0.0966593629137024,,,,0.07709427349915471
samsung,20,full_plus_E,dev_09,dev_fold,117,0.04786752148698007,,,,0.050582678256604424
