target,horizon,candidate,fold,evaluation_stage,n,mae,mae_calibrated,n_features,mean_slope,zero_mae
sk_hynix,5,hold_current,dev_all,dev_common,1081,0.043516787731446405,,,,
sk_hynix,5,current_full,dev_all,dev_common,1081,0.04334088794531299,0.04321364788756111,75,0.523921944033312,
sk_hynix,5,current_full,dev_01,dev_fold,123,0.036729350370321476,,,,0.03602202380212123
sk_hynix,5,current_full,dev_02,dev_fold,125,0.034443892241202444,,,,0.03455672064383621
sk_hynix,5,current_full,dev_03,dev_fold,103,0.036469121922096774,,,,0.03513953117989742
sk_hynix,5,current_full,dev_04,dev_fold,125,0.04111693470300623,,,,0.04072752047081133
sk_hynix,5,current_full,dev_05,dev_fold,123,0.04271522868086716,,,,0.04106075934931817
sk_hynix,5,current_full,dev_06,dev_fold,121,0.034736580953731354,,,,0.03497051420075539
sk_hynix,5,current_full,dev_07,dev_fold,121,0.04342201405198737,,,,0.04455269754891238
sk_hynix,5,current_full,dev_08,dev_fold,123,0.06174981869049477,,,,0.06334412995074624
sk_hynix,5,current_full,dev_09,dev_fold,117,0.05834167542702794,,,,0.060828433791064576
sk_hynix,5,full_plus_E,dev_all,dev_common,1081,0.04344850189150387,0.04327112277105645,85,0.4615603369906405,
sk_hynix,5,full_plus_E,dev_01,dev_fold,123,0.03743341884583922,,,,0.03602202380212123
sk_hynix,5,full_plus_E,dev_02,dev_fold,125,0.03449843537200855,,,,0.03455672064383621
sk_hynix,5,full_plus_E,dev_03,dev_fold,103,0.03673260217355861,,,,0.03513953117989742
sk_hynix,5,full_plus_E,dev_04,dev_fold,125,0.04078307868186403,,,,0.04072752047081133
sk_hynix,5,full_plus_E,dev_05,dev_fold,123,0.042927348142682245,,,,0.04106075934931817
sk_hynix,5,full_plus_E,dev_06,dev_fold,121,0.03474756757302062,,,,0.03497051420075539
sk_hynix,5,full_plus_E,dev_07,dev_fold,121,0.04341853342932995,,,,0.04455269754891238
sk_hynix,5,full_plus_E,dev_08,dev_fold,123,0.06203974779586563,,,,0.06334412995074624
sk_hynix,5,full_plus_E,dev_09,dev_fold,117,0.05812668140462433,,,,0.060828433791064576
sk_hynix,20,hold_current,dev_all,dev_common,1081,0.08512272944238433,,,,
sk_hynix,20,current_full,dev_all,dev_common,1081,0.08784434084197093,0.08558046754800647,75,0.3387003243291285,
sk_hynix,20,current_full,dev_01,dev_fold,123,0.06636997241284588,,,,0.05207687834273718
sk_hynix,20,current_full,dev_02,dev_fold,125,0.08712663947262608,,,,0.08424866237092567
sk_hynix,20,current_full,dev_03,dev_fold,103,0.07713272390291158,,,,0.06726388167579234
sk_hynix,20,current_full,dev_04,dev_fold,125,0.06595927170851501,,,,0.06375576615002164
sk_hynix,20,current_full,dev_05,dev_fold,123,0.10462848598637431,,,,0.08911158888265804
sk_hynix,20,current_full,dev_06,dev_fold,121,0.03790529900129343,,,,0.04385537744870051
sk_hynix,20,current_full,dev_07,dev_fold,121,0.10150508680890909,,,,0.1114745876447106
sk_hynix,20,current_full,dev_08,dev_fold,123,0.13184074494579653,,,,0.12732353907204216
sk_hynix,20,current_full,dev_09,dev_fold,117,0.11761918201757675,,,,0.1262139709282469
sk_hynix,20,full_plus_E,dev_all,dev_common,1081,0.08855583164125462,0.08557781554236163,85,0.2752528053906447,
sk_hynix,20,full_plus_E,dev_01,dev_fold,123,0.07425333134566182,,,,0.05207687834273718
sk_hynix,20,full_plus_E,dev_02,dev_fold,125,0.08759462169348538,,,,0.08424866237092567
sk_hynix,20,full_plus_E,dev_03,dev_fold,103,0.07562431050765045,,,,0.06726388167579234
sk_hynix,20,full_plus_E,dev_04,dev_fold,125,0.06385723237162293,,,,0.06375576615002164
sk_hynix,20,full_plus_E,dev_05,dev_fold,123,0.10519956273965958,,,,0.08911158888265804
sk_hynix,20,full_plus_E,dev_06,dev_fold,121,0.03829871195065838,,,,0.04385537744870051
sk_hynix,20,full_plus_E,dev_07,dev_fold,121,0.10099306444606085,,,,0.1114745876447106
sk_hynix,20,full_plus_E,dev_08,dev_fold,123,0.13425493186748774,,,,0.12732353907204216
sk_hynix,20,full_plus_E,dev_09,dev_fold,117,0.11596325408180477,,,,0.1262139709282469
