target,definition,metric,statistic,event,other,diff,lo,hi,n_event,n_other,ratio
samsung,next,abs_gap,mean,0.03626960247327855,0.030024058730816598,0.006245543742461956,-0.0036688253476269057,0.01716873376277726,29,132,1.2080179698040474
samsung,next,abs_gap,median,0.029906542056074792,0.02439581452169759,0.005510727534377202,-0.005828041154484362,0.01874449992963556,29,132,1.2258882370775517
samsung,next,abs_move,mean,0.04295840737055773,0.04042655395844108,0.002531853412116647,-0.009684096438972908,0.014647939869454773,29,132,1.0626284747079708
samsung,next,abs_move,median,0.0383693045563549,0.02746256899456484,0.01090673556179006,-0.008615006212440157,0.03479022088913131,29,132,1.397149136482775
samsung,next,abs_intraday,mean,0.026511158395289683,0.02842368194442658,-0.0019125235491368985,-0.010519481463414866,0.00670773115650312,29,132,0.9327137295978675
samsung,next,abs_intraday,median,0.024087591240876005,0.022134503855713472,0.001953087385162533,-0.012492149284184175,0.013095821229197896,29,132,1.0882372335017751
samsung,flagged,abs_gap,mean,0.03661628653850165,0.02882665902959991,0.0077896275089017405,-0.00270943832025783,0.02059339735929046,48,113,1.2702230425282084
samsung,flagged,abs_gap,median,0.02698255188952292,0.02491103202846978,0.0020715198610531393,-0.009283237620543838,0.016252599488281075,48,113,1.0831567258508474
samsung,flagged,abs_move,mean,0.04517875619246294,0.0390576870709927,0.006121069121470243,-0.0073617247687405764,0.02164960072265764,48,113,1.156718678972064
samsung,flagged,abs_move,median,0.029134669126936075,0.02755696873343938,0.0015777003934966949,-0.01019589370950932,0.018619077442606713,48,113,1.0572523200486204
samsung,flagged,abs_intraday,mean,0.02613344617177855,0.02890570083081716,-0.00277225465903861,-0.009658422632243709,0.004578106659539821,48,113,0.904093151891926
samsung,flagged,abs_intraday,median,0.02274418472549633,0.022210184182015258,0.0005340005434810724,-0.010765087214736664,0.010367256256988797,48,113,1.0240430488601477
sk_hynix,next,abs_gap,mean,0.04031342110178548,0.03455276214477643,0.00576065895700905,-0.006379271999545402,0.01872825390528556,29,132,1.1667206497955744
sk_hynix,next,abs_gap,median,0.029427792915531326,0.02632099773812513,0.0031067951774061964,-0.008198294657137506,0.023172972209059672,29,132,1.1180348559851931
sk_hynix,next,abs_move,mean,0.04708003584782956,0.048855540628614774,-0.0017755047807852115,-0.01696214003606545,0.014361298182047691,29,132,0.9636580670699754
sk_hynix,next,abs_move,median,0.032558139534883734,0.03571662832187916,-0.003158488786995428,-0.0243549541638498,0.030143234295077398,29,132,0.9115681144779108
sk_hynix,next,abs_intraday,mean,0.03141364741795091,0.031429970744851016,-1.6323326900102852e-05,-0.010242068147811458,0.011518585815149387,29,132,0.9994806445404415
sk_hynix,next,abs_intraday,median,0.023224043715847076,0.022244355909694535,0.0009796878061525405,-0.010089659777097859,0.009500421236204147,29,132,1.0440420846586784
sk_hynix,flagged,abs_gap,mean,0.041394660409126705,0.03312486827809013,0.008269792131036575,-0.004338326487514189,0.023371348336016787,48,113,1.2496550948251313
sk_hynix,flagged,abs_gap,median,0.03173517305351037,0.026630434782608736,0.005104738270901632,-0.013632651546085506,0.019183901110317314,48,113,1.1916881309889589
sk_hynix,flagged,abs_move,mean,0.052189697999924844,0.04698360087228155,0.005206097127643292,-0.010591284400707125,0.023421567886190705,48,113,1.1108066863967143
sk_hynix,flagged,abs_move,median,0.03260047591935644,0.04041720990873532,-0.007816733989378877,-0.023472320700926707,0.023769471730365716,48,113,0.8065988719402064
sk_hynix,flagged,abs_intraday,mean,0.029978579535712535,0.03204230173209477,-0.002063722196382234,-0.010849082488388,0.0069550642915149775,48,113,0.9355938217660833
sk_hynix,flagged,abs_intraday,median,0.020862137311585705,0.025683975432719164,-0.004821838121133459,-0.011697266172861542,0.005914054896204019,48,113,0.8122627809793473
