horizon,model,mae,n,vs_drift,vs_drift_lo,vs_drift_hi,vs_rw,vs_rw_lo,vs_rw_hi
1,rw,0.17209000000000024,200,0.0732989999999996,0.009930048749999329,0.13473668999999933,,,
1,drift,0.09879100000000066,200,,,,-0.0732989999999996,-0.13473668999999935,-0.009930048749999342
1,ar,0.0985251155440308,200,-0.00026588445596985365,-0.025633315930096996,0.024756801079726606,-0.07356488445596945,-0.1412790025265896,0.0015482646128932341
1,var,0.3023801086823547,138,0.1707715579577163,0.07275592975096588,0.3300518776767899,0.08070764491423844,-0.038465695367206024,0.2263248107147042
2,rw,0.30493216080402036,199,0.038807035175879113,-0.08417652512562834,0.13615398994974645,,,
2,drift,0.2661251256281413,199,,,,-0.038807035175879113,-0.13615398994974645,0.08417652512562815
2,ar,0.2586950122545358,199,-0.007430113373605514,-0.0716848409828098,0.06080333039406204,-0.04623714854948462,-0.19123451197058203,0.1267159344363662
2,var,0.6555330039606715,137,0.30262906235483145,0.087973775171665,0.6425103878793157,0.26594891636943035,-0.01868162392320131,0.631494638546107
3,rw,0.4321043434343438,198,-0.038453131313130814,-0.2094765984848477,0.09222823611111329,,,
3,drift,0.47055747474747456,198,,,,0.038453131313130814,-0.09222823611111336,0.20947659848484765
3,ar,0.487211535681455,198,0.016654060933980402,-0.09197122689338853,0.1380103046006741,0.05510719224711122,-0.1478746018320135,0.3246711247965881
3,var,0.9566763522879523,136,0.3355417934644232,0.08720913098499986,0.6653749528534373,0.40488576405265786,0.03179648548551007,0.9085759275545122
