target,comparison,metric,delta,ci_low,ci_high,common_n,verdict
samsung,매 1거래일 − 폴드당 1회,balanced_accuracy,-0.0036933967481216357,-0.016402592715284926,0.009416194239010758,1362,동률(CI가 0 포함)
samsung,매 1거래일 − 폴드당 1회,log_loss,-0.0030393895069129595,-0.008277950458525817,0.0015036839058338227,1362,동률(CI가 0 포함)
samsung,매 5거래일 − 폴드당 1회,balanced_accuracy,-0.006792976926051075,-0.020277290771700155,0.007374990700886418,1362,동률(CI가 0 포함)
samsung,매 5거래일 − 폴드당 1회,log_loss,-0.003689578331215193,-0.008218861147046392,0.0003491491492645331,1362,동률(CI가 0 포함)
samsung,매 21거래일 − 폴드당 1회,balanced_accuracy,-0.0063932653271768225,-0.018047565886007887,0.004895604546772367,1362,동률(CI가 0 포함)
samsung,매 21거래일 − 폴드당 1회,log_loss,-0.0015749079556959256,-0.00529988822988024,0.0018991257948535768,1362,동률(CI가 0 포함)
sk_hynix,매 1거래일 − 폴드당 1회,balanced_accuracy,0.004744337006619859,-0.010631935210419063,0.020307750712121365,1357,동률(CI가 0 포함)
sk_hynix,매 1거래일 − 폴드당 1회,log_loss,0.0014628085711065886,-0.003066988301471113,0.005490459810252212,1357,동률(CI가 0 포함)
sk_hynix,매 5거래일 − 폴드당 1회,balanced_accuracy,-0.00026848945212476494,-0.0137713198330534,0.013644181924151575,1357,동률(CI가 0 포함)
sk_hynix,매 5거래일 − 폴드당 1회,log_loss,0.0007163808761156965,-0.003550910787472611,0.004420371875747486,1357,동률(CI가 0 포함)
sk_hynix,매 21거래일 − 폴드당 1회,balanced_accuracy,-0.002802085634142415,-0.016878678295743237,0.011678538419701932,1357,동률(CI가 0 포함)
sk_hynix,매 21거래일 − 폴드당 1회,log_loss,0.004310212217384368,0.00039077798271880133,0.007798170272572326,1357,후보가 유의하게 열위
