target,model,threshold,selected,total,coverage,selected_accuracy,overall_accuracy
samsung,panel pooled + foreign,none,1362,1362,1.0,0.4544787077826725,0.4544787077826725
samsung,panel pooled + foreign,0.5,239,1362,0.1754772393538913,0.7364016736401674,0.4544787077826725
samsung,panel pooled + foreign,0.6,59,1362,0.0433186490455212,0.8135593220338984,0.4544787077826725
samsung,panel pooled + foreign,0.7,13,1362,0.0095447870778267,1.0,0.4544787077826725
samsung,panel single + foreign,none,1362,1362,1.0,0.4552129221732746,0.4552129221732746
samsung,panel single + foreign,0.5,293,1362,0.2151248164464023,0.6450511945392492,0.4552129221732746
samsung,panel single + foreign,0.6,77,1362,0.0565345080763583,0.7662337662337663,0.4552129221732746
samsung,panel single + foreign,0.7,22,1362,0.0161527165932452,0.7727272727272727,0.4552129221732746
samsung,No macro ensemble,none,1362,1362,1.0,0.4596182085168869,0.4596182085168869
samsung,No macro ensemble,0.5,309,1362,0.2268722466960352,0.6828478964401294,0.4596182085168869
samsung,No macro ensemble,0.6,74,1362,0.0543318649045521,0.7972972972972973,0.4596182085168869
samsung,No macro ensemble,0.7,16,1362,0.0117474302496328,0.875,0.4596182085168869
sk_hynix,panel pooled + foreign,none,1357,1357,1.0,0.4922623434045689,0.4922623434045689
sk_hynix,panel pooled + foreign,0.5,210,1357,0.1547531319086219,0.7238095238095238,0.4922623434045689
sk_hynix,panel pooled + foreign,0.6,50,1357,0.0368459837877671,0.82,0.4922623434045689
sk_hynix,panel pooled + foreign,0.7,11,1357,0.0081061164333087,1.0,0.4922623434045689
sk_hynix,panel single + foreign,none,1357,1357,1.0,0.4922623434045689,0.4922623434045689
sk_hynix,panel single + foreign,0.5,384,1357,0.2829771554900516,0.6276041666666666,0.4922623434045689
sk_hynix,panel single + foreign,0.6,115,1357,0.0847457627118644,0.7391304347826086,0.4922623434045689
sk_hynix,panel single + foreign,0.7,27,1357,0.0198968312453942,0.8518518518518519,0.4922623434045689
sk_hynix,No macro ensemble,none,1357,1357,1.0,0.501105379513633,0.501105379513633
sk_hynix,No macro ensemble,0.5,372,1357,0.2741341193809875,0.6424731182795699,0.501105379513633
sk_hynix,No macro ensemble,0.6,99,1357,0.0729550478997789,0.7474747474747475,0.501105379513633
sk_hynix,No macro ensemble,0.7,21,1357,0.0154753131908621,0.9047619047619048,0.501105379513633
