target_mode,target,model,threshold,selected,total,coverage,selected_accuracy,overall_accuracy
close_to_close,samsung,t0700,none,1367,1367,1.0,0.4542794440380395,0.4542794440380395
close_to_close,samsung,t0700,0.5,334,1367,0.2443306510607168,0.6796407185628742,0.4542794440380395
close_to_close,samsung,t0700,0.6,80,1367,0.0585223116313094,0.8,0.4542794440380395
close_to_close,samsung,t0700,0.7,15,1367,0.0109729334308705,0.8666666666666667,0.4542794440380395
close_to_close,samsung,t0900,none,1367,1367,1.0,0.5640087783467447,0.5640087783467447
close_to_close,samsung,t0900,0.5,758,1367,0.5544989027066569,0.6767810026385225,0.5640087783467447
close_to_close,samsung,t0900,0.6,465,1367,0.3401609363569861,0.7440860215053764,0.5640087783467447
close_to_close,samsung,t0900,0.7,237,1367,0.1733723482077542,0.8312236286919831,0.5640087783467447
close_to_close,samsung,gap_rule,none,1367,1367,1.0,0.5332845647403073,0.5332845647403073
close_to_close,samsung,gap_rule,0.5,832,1367,0.6086320409656182,0.65625,0.5332845647403073
close_to_close,samsung,gap_rule,0.6,719,1367,0.5259692757863935,0.6564673157162726,0.5332845647403073
close_to_close,samsung,gap_rule,0.7,39,1367,0.0285296269202633,0.5641025641025641,0.5332845647403073
close_to_close,samsung,notebook OOF (No macro ensemble),none,1367,1367,1.0,0.4542794440380395,0.4542794440380395
close_to_close,samsung,notebook OOF (No macro ensemble),0.5,334,1367,0.2443306510607168,0.6796407185628742,0.4542794440380395
close_to_close,samsung,notebook OOF (No macro ensemble),0.6,80,1367,0.0585223116313094,0.8,0.4542794440380395
close_to_close,samsung,notebook OOF (No macro ensemble),0.7,15,1367,0.0109729334308705,0.8666666666666667,0.4542794440380395
session,samsung,t0700,none,1367,1367,1.0,0.387710314557425,0.387710314557425
session,samsung,t0700,0.5,6,1367,0.0043891733723482,0.1666666666666666,0.387710314557425
session,samsung,t0700,0.6,0,1367,0.0,,0.387710314557425
session,samsung,t0700,0.7,0,1367,0.0,,0.387710314557425
session,samsung,t0900,none,1367,1367,1.0,0.4001463057790783,0.4001463057790783
session,samsung,t0900,0.5,7,1367,0.0051207022677395,0.2857142857142857,0.4001463057790783
session,samsung,t0900,0.6,0,1367,0.0,,0.4001463057790783
session,samsung,t0900,0.7,0,1367,0.0,,0.4001463057790783
close_to_close,sk_hynix,t0700,none,1362,1362,1.0,0.4992657856093979,0.4992657856093979
close_to_close,sk_hynix,t0700,0.5,386,1362,0.2834067547723935,0.6398963730569949,0.4992657856093979
close_to_close,sk_hynix,t0700,0.6,102,1362,0.0748898678414096,0.7450980392156863,0.4992657856093979
close_to_close,sk_hynix,t0700,0.7,29,1362,0.0212922173274596,0.896551724137931,0.4992657856093979
close_to_close,sk_hynix,t0900,none,1362,1362,1.0,0.5756240822320118,0.5756240822320118
close_to_close,sk_hynix,t0900,0.5,752,1362,0.5521292217327459,0.6888297872340425,0.5756240822320118
close_to_close,sk_hynix,t0900,0.6,492,1362,0.3612334801762114,0.7520325203252033,0.5756240822320118
close_to_close,sk_hynix,t0900,0.7,278,1362,0.2041116005873715,0.8201438848920863,0.5756240822320118
close_to_close,sk_hynix,gap_rule,none,1362,1362,1.0,0.5411160058737151,0.5411160058737151
close_to_close,sk_hynix,gap_rule,0.5,837,1362,0.6145374449339207,0.6714456391875747,0.5411160058737151
close_to_close,sk_hynix,gap_rule,0.6,733,1362,0.5381791483113069,0.6725784447476125,0.5411160058737151
close_to_close,sk_hynix,gap_rule,0.7,0,1362,0.0,,0.5411160058737151
close_to_close,sk_hynix,notebook OOF (No macro ensemble),none,1362,1362,1.0,0.4992657856093979,0.4992657856093979
close_to_close,sk_hynix,notebook OOF (No macro ensemble),0.5,386,1362,0.2834067547723935,0.6398963730569949,0.4992657856093979
close_to_close,sk_hynix,notebook OOF (No macro ensemble),0.6,102,1362,0.0748898678414096,0.7450980392156863,0.4992657856093979
close_to_close,sk_hynix,notebook OOF (No macro ensemble),0.7,29,1362,0.0212922173274596,0.896551724137931,0.4992657856093979
session,sk_hynix,t0700,none,1362,1362,1.0,0.42143906020558,0.42143906020558
session,sk_hynix,t0700,0.5,93,1362,0.0682819383259911,0.5591397849462365,0.42143906020558
session,sk_hynix,t0700,0.6,6,1362,0.0044052863436123,0.8333333333333334,0.42143906020558
session,sk_hynix,t0700,0.7,1,1362,0.000734214390602,0.0,0.42143906020558
session,sk_hynix,t0900,none,1362,1362,1.0,0.4207048458149779,0.4207048458149779
session,sk_hynix,t0900,0.5,86,1362,0.0631424375917768,0.5697674418604651,0.4207048458149779
session,sk_hynix,t0900,0.6,7,1362,0.0051395007342143,0.8571428571428571,0.4207048458149779
session,sk_hynix,t0900,0.7,1,1362,0.000734214390602,0.0,0.4207048458149779
