target,model,threshold,selected,total,coverage,selected_accuracy,overall_accuracy
samsung,current (market only),none,1367,1367,1.0,0.4542794440380395,0.4542794440380395
samsung,current (market only),0.5,334,1367,0.2443306510607168,0.6796407185628742,0.4542794440380395
samsung,current (market only),0.6,80,1367,0.0585223116313094,0.8,0.4542794440380395
samsung,current (market only),0.7,15,1367,0.0109729334308705,0.8666666666666667,0.4542794440380395
samsung,asof cumulative,none,1367,1367,1.0,0.4659839063643013,0.4659839063643013
samsung,asof cumulative,0.5,322,1367,0.2355523043160204,0.6708074534161491,0.4659839063643013
samsung,asof cumulative,0.6,91,1367,0.0665691294806144,0.7582417582417582,0.4659839063643013
samsung,asof cumulative,0.7,22,1367,0.01609363569861,0.8636363636363636,0.4659839063643013
samsung,notebook OOF (No macro ensemble),none,1367,1367,1.0,0.4542794440380395,0.4542794440380395
samsung,notebook OOF (No macro ensemble),0.5,334,1367,0.2443306510607168,0.6796407185628742,0.4542794440380395
samsung,notebook OOF (No macro ensemble),0.6,80,1367,0.0585223116313094,0.8,0.4542794440380395
samsung,notebook OOF (No macro ensemble),0.7,15,1367,0.0109729334308705,0.8666666666666667,0.4542794440380395
sk_hynix,current (market only),none,1362,1362,1.0,0.4992657856093979,0.4992657856093979
sk_hynix,current (market only),0.5,386,1362,0.2834067547723935,0.6398963730569949,0.4992657856093979
sk_hynix,current (market only),0.6,102,1362,0.0748898678414096,0.7450980392156863,0.4992657856093979
sk_hynix,current (market only),0.7,29,1362,0.0212922173274596,0.896551724137931,0.4992657856093979
sk_hynix,asof cumulative,none,1362,1362,1.0,0.5007342143906021,0.5007342143906021
sk_hynix,asof cumulative,0.5,447,1362,0.3281938325991189,0.6331096196868009,0.5007342143906021
sk_hynix,asof cumulative,0.6,152,1362,0.1116005873715124,0.7697368421052632,0.5007342143906021
sk_hynix,asof cumulative,0.7,39,1362,0.0286343612334801,0.7948717948717948,0.5007342143906021
sk_hynix,notebook OOF (No macro ensemble),none,1362,1362,1.0,0.4992657856093979,0.4992657856093979
sk_hynix,notebook OOF (No macro ensemble),0.5,386,1362,0.2834067547723935,0.6398963730569949,0.4992657856093979
sk_hynix,notebook OOF (No macro ensemble),0.6,102,1362,0.0748898678414096,0.7450980392156863,0.4992657856093979
sk_hynix,notebook OOF (No macro ensemble),0.7,29,1362,0.0212922173274596,0.896551724137931,0.4992657856093979
