target,target_mode,comparison,metric,delta,ci_low,ci_high,common_n,verdict
samsung,close_to_close,t_evening_f2000 − t_evening,log_loss,0.0011254709770052,-0.0014703233854844,0.0041036796897862,394,동률(CI가 0 포함)
samsung,close_to_close,t_evening_f2000 − t_evening,balanced_accuracy,-0.0052784957214644,-0.0228036037600613,0.0131333464375713,394,동률(CI가 0 포함)
samsung,close_to_close,t_evening_f2000 − t_evening,accuracy,-0.0126903553299492,-0.0380759219931627,0.0098039215686274,394,동률(CI가 0 포함)
samsung,close_to_close,t_evening_f2000 − t_evening,auc_gap,0.0133840436650795,0.0034206051521514,0.0261115183225878,394,후보가 유의하게 우위
samsung,close_to_close,t_evening_f2000 − t_evening,auc_session,-0.005406911928651,-0.0178967714141503,0.0057754991117694,394,동률(CI가 0 포함)
samsung,close_to_close,t_evening_f2200 − t_evening,log_loss,-0.0002272563524639,-0.0036192105224061,0.0030584122830412,394,동률(CI가 0 포함)
samsung,close_to_close,t_evening_f2200 − t_evening,balanced_accuracy,-0.001551371553487,-0.0257559203440957,0.0269324717150804,394,동률(CI가 0 포함)
samsung,close_to_close,t_evening_f2200 − t_evening,accuracy,-0.0101522842639593,-0.0385625846031568,0.0196102578962619,394,동률(CI가 0 포함)
samsung,close_to_close,t_evening_f2200 − t_evening,auc_gap,0.0164034374637092,-0.0001876825786192,0.033522561537367,394,동률(CI가 0 포함)
samsung,close_to_close,t_evening_f2200 − t_evening,auc_session,-0.0078037904124861,-0.0190557098657841,0.0034196781963162,394,동률(CI가 0 포함)
samsung,close_to_close,t_evening_f2200 − t_evening_f2000,log_loss,-0.0013527273294691,-0.0027513044764339,3.95665032129556e-06,394,동률(CI가 0 포함)
samsung,close_to_close,t_evening_f2200 − t_evening_f2000,balanced_accuracy,0.0037271241679774,-0.0142549032923475,0.0232890616765076,394,동률(CI가 0 포함)
samsung,close_to_close,t_evening_f2200 − t_evening_f2000,accuracy,0.0025380710659898,-0.0145994303008723,0.0208360602094241,394,동률(CI가 0 포함)
samsung,close_to_close,t_evening_f2200 − t_evening_f2000,auc_gap,0.0030193937986296,-0.0102359514863157,0.0177399714902646,394,동률(CI가 0 포함)
samsung,close_to_close,t_evening_f2200 − t_evening_f2000,auc_session,-0.002396878483835,-0.0147192695012787,0.0109286571580725,394,동률(CI가 0 포함)
samsung,close_to_close,t_evening_f2000 − t0700,log_loss,0.0617420949307883,0.0295922522781092,0.0945244939567162,394,후보가 유의하게 열위
