target,model,threshold,selected,total,coverage,selected_accuracy,overall_accuracy
samsung,t0700,none,394,394,1.0,0.4467005076142132,0.4467005076142132
samsung,t0700,0.5,77,394,0.1954314720812182,0.7012987012987013,0.4467005076142132
samsung,t0700,0.6,16,394,0.0406091370558375,0.875,0.4467005076142132
samsung,t0700,0.7,3,394,0.0076142131979695,1.0,0.4467005076142132
samsung,t_evening,none,394,394,1.0,0.365482233502538,0.365482233502538
samsung,t_evening,0.5,1,394,0.0025380710659898,1.0,0.365482233502538
samsung,t_evening,0.6,0,394,0.0,,0.365482233502538
samsung,t_evening,0.7,0,394,0.0,,0.365482233502538
samsung,t_evening_f2000,none,394,394,1.0,0.3527918781725888,0.3527918781725888
samsung,t_evening_f2000,0.5,1,394,0.0025380710659898,1.0,0.3527918781725888
samsung,t_evening_f2000,0.6,0,394,0.0,,0.3527918781725888
samsung,t_evening_f2000,0.7,0,394,0.0,,0.3527918781725888
samsung,t_evening_f2200,none,394,394,1.0,0.3553299492385787,0.3553299492385787
samsung,t_evening_f2200,0.5,1,394,0.0025380710659898,1.0,0.3553299492385787
samsung,t_evening_f2200,0.6,0,394,0.0,,0.3553299492385787
samsung,t_evening_f2200,0.7,0,394,0.0,,0.3553299492385787
samsung,nq_rule,none,394,394,1.0,0.3477157360406091,0.3477157360406091
samsung,nq_rule,0.5,0,394,0.0,,0.3477157360406091
samsung,nq_rule,0.6,0,394,0.0,,0.3477157360406091
samsung,nq_rule,0.7,0,394,0.0,,0.3477157360406091
sk_hynix,t0700,none,394,394,1.0,0.4898477157360406,0.4898477157360406
sk_hynix,t0700,0.5,183,394,0.4644670050761421,0.5956284153005464,0.4898477157360406
sk_hynix,t0700,0.6,67,394,0.1700507614213198,0.7611940298507462,0.4898477157360406
sk_hynix,t0700,0.7,26,394,0.065989847715736,0.8846153846153846,0.4898477157360406
sk_hynix,t_evening,none,394,394,1.0,0.3350253807106599,0.3350253807106599
sk_hynix,t_evening,0.5,0,394,0.0,,0.3350253807106599
sk_hynix,t_evening,0.6,0,394,0.0,,0.3350253807106599
sk_hynix,t_evening,0.7,0,394,0.0,,0.3350253807106599
sk_hynix,t_evening_f2000,none,394,394,1.0,0.3629441624365482,0.3629441624365482
sk_hynix,t_evening_f2000,0.5,0,394,0.0,,0.3629441624365482
sk_hynix,t_evening_f2000,0.6,0,394,0.0,,0.3629441624365482
sk_hynix,t_evening_f2000,0.7,0,394,0.0,,0.3629441624365482
sk_hynix,t_evening_f2200,none,394,394,1.0,0.3883248730964467,0.3883248730964467
sk_hynix,t_evening_f2200,0.5,0,394,0.0,,0.3883248730964467
sk_hynix,t_evening_f2200,0.6,0,394,0.0,,0.3883248730964467
sk_hynix,t_evening_f2200,0.7,0,394,0.0,,0.3883248730964467
sk_hynix,nq_rule,none,394,394,1.0,0.4060913705583756,0.4060913705583756
sk_hynix,nq_rule,0.5,0,394,0.0,,0.4060913705583756
sk_hynix,nq_rule,0.6,0,394,0.0,,0.4060913705583756
sk_hynix,nq_rule,0.7,0,394,0.0,,0.4060913705583756
