target,model,threshold,selected,total,coverage,selected_accuracy,overall_accuracy
samsung,current (all-feature rows),none,1367,1367,1.0,0.4542794440380395,0.4542794440380395
samsung,current (all-feature rows),0.5,334,1367,0.2443306510607168,0.6796407185628742,0.4542794440380395
samsung,current (all-feature rows),0.6,80,1367,0.0585223116313094,0.8,0.4542794440380395
samsung,current (all-feature rows),0.7,15,1367,0.0109729334308705,0.8666666666666667,0.4542794440380395
samsung,market-feature rows,none,1367,1367,1.0,0.46525237746891,0.46525237746891
samsung,market-feature rows,0.5,307,1367,0.2245793708851499,0.6416938110749185,0.46525237746891
samsung,market-feature rows,0.6,75,1367,0.0548646671543526,0.7733333333333333,0.46525237746891
samsung,market-feature rows,0.7,17,1367,0.0124359912216532,0.8235294117647058,0.46525237746891
samsung,notebook OOF (No macro ensemble),none,1367,1367,1.0,0.4542794440380395,0.4542794440380395
samsung,notebook OOF (No macro ensemble),0.5,334,1367,0.2443306510607168,0.6796407185628742,0.4542794440380395
samsung,notebook OOF (No macro ensemble),0.6,80,1367,0.0585223116313094,0.8,0.4542794440380395
samsung,notebook OOF (No macro ensemble),0.7,15,1367,0.0109729334308705,0.8666666666666667,0.4542794440380395
sk_hynix,current (all-feature rows),none,1362,1362,1.0,0.4992657856093979,0.4992657856093979
sk_hynix,current (all-feature rows),0.5,386,1362,0.2834067547723935,0.6398963730569949,0.4992657856093979
sk_hynix,current (all-feature rows),0.6,102,1362,0.0748898678414096,0.7450980392156863,0.4992657856093979
sk_hynix,current (all-feature rows),0.7,29,1362,0.0212922173274596,0.896551724137931,0.4992657856093979
sk_hynix,market-feature rows,none,1362,1362,1.0,0.4970631424375917,0.4970631424375917
sk_hynix,market-feature rows,0.5,387,1362,0.2841409691629956,0.6330749354005168,0.4970631424375917
sk_hynix,market-feature rows,0.6,99,1362,0.0726872246696035,0.7474747474747475,0.4970631424375917
sk_hynix,market-feature rows,0.7,27,1362,0.0198237885462555,0.925925925925926,0.4970631424375917
sk_hynix,notebook OOF (No macro ensemble),none,1362,1362,1.0,0.4992657856093979,0.4992657856093979
sk_hynix,notebook OOF (No macro ensemble),0.5,386,1362,0.2834067547723935,0.6398963730569949,0.4992657856093979
sk_hynix,notebook OOF (No macro ensemble),0.6,102,1362,0.0748898678414096,0.7450980392156863,0.4992657856093979
sk_hynix,notebook OOF (No macro ensemble),0.7,29,1362,0.0212922173274596,0.896551724137931,0.4992657856093979
