target,model,threshold,selected,total,coverage,selected_accuracy,overall_accuracy
samsung,current (market only),none,1367,1367,1.0,0.4542794440380395,0.4542794440380395
samsung,current (market only),0.5,334,1367,0.2443306510607168,0.6796407185628742,0.4542794440380395
samsung,current (market only),0.6,80,1367,0.0585223116313094,0.8,0.4542794440380395
samsung,current (market only),0.7,15,1367,0.0109729334308705,0.8666666666666667,0.4542794440380395
samsung,current + D,none,1367,1367,1.0,0.4601316752011704,0.4601316752011704
samsung,current + D,0.5,319,1367,0.2333577176298464,0.6614420062695925,0.4601316752011704
samsung,current + D,0.6,75,1367,0.0548646671543526,0.7866666666666666,0.4601316752011704
samsung,current + D,0.7,21,1367,0.0153621068032187,0.8571428571428571,0.4601316752011704
samsung,notebook OOF (No macro ensemble),none,1367,1367,1.0,0.4542794440380395,0.4542794440380395
samsung,notebook OOF (No macro ensemble),0.5,334,1367,0.2443306510607168,0.6796407185628742,0.4542794440380395
samsung,notebook OOF (No macro ensemble),0.6,80,1367,0.0585223116313094,0.8,0.4542794440380395
samsung,notebook OOF (No macro ensemble),0.7,15,1367,0.0109729334308705,0.8666666666666667,0.4542794440380395
sk_hynix,current (market only),none,1362,1362,1.0,0.4992657856093979,0.4992657856093979
sk_hynix,current (market only),0.5,386,1362,0.2834067547723935,0.6398963730569949,0.4992657856093979
sk_hynix,current (market only),0.6,102,1362,0.0748898678414096,0.7450980392156863,0.4992657856093979
sk_hynix,current (market only),0.7,29,1362,0.0212922173274596,0.896551724137931,0.4992657856093979
sk_hynix,current + D,none,1362,1362,1.0,0.4919236417033774,0.4919236417033774
sk_hynix,current + D,0.5,389,1362,0.2856093979441997,0.6426735218508998,0.4919236417033774
sk_hynix,current + D,0.6,113,1362,0.0829662261380323,0.7345132743362832,0.4919236417033774
sk_hynix,current + D,0.7,27,1362,0.0198237885462555,0.8518518518518519,0.4919236417033774
sk_hynix,notebook OOF (No macro ensemble),none,1362,1362,1.0,0.4992657856093979,0.4992657856093979
sk_hynix,notebook OOF (No macro ensemble),0.5,386,1362,0.2834067547723935,0.6398963730569949,0.4992657856093979
sk_hynix,notebook OOF (No macro ensemble),0.6,102,1362,0.0748898678414096,0.7450980392156863,0.4992657856093979
sk_hynix,notebook OOF (No macro ensemble),0.7,29,1362,0.0212922173274596,0.896551724137931,0.4992657856093979
