name,test_start,test_end,train_rows,test_rows,train_start,train_end,used,excluded,train_maturity_max
dev_01,2021-01-01,2021-06-30,1074,123,2015-04-29,2020-12-23,True,,
dev_02,2021-07-01,2021-12-31,1197,121,2015-04-29,2021-06-24,True,,
dev_03,2022-01-01,2022-06-30,1322,0,2015-04-29,2021-12-24,False,시험 행 없음,
dev_04,2022-07-01,2022-12-31,1322,81,2015-04-29,2021-12-24,True,,
dev_05,2023-01-01,2023-06-30,1399,123,2015-04-29,2022-12-23,True,,
dev_06,2023-07-01,2023-12-31,1522,122,2015-04-29,2023-06-26,True,,
dev_07,2024-01-01,2024-06-30,1644,121,2015-04-29,2023-12-21,True,,
dev_08,2024-07-01,2024-12-31,1765,64,2015-04-29,2024-06-24,True,,
dev_09,2025-01-01,2025-05-27,1833,70,2015-04-29,2024-10-04,True,,
lock,2025-05-28,2026-05-27,1899,158,2015-04-29,2025-05-21,True,,2025-05-27
