target,model,fold,test_start,test_end,mae,rmse,direction_hit,direction_n,n,seed
samsung,persistence,dev_01,2021-01-01,2021-06-30,0.0204255112399144,0.0287561058132562,,0,123,
samsung,ohlcv_ridge,dev_01,2021-01-01,2021-06-30,0.021980586189892,0.0293066660882931,0.4471544715447154,123,123,
samsung,persistence,dev_02,2021-07-01,2021-12-31,0.0230663297105063,0.0311740307229408,,0,121,
samsung,ohlcv_ridge,dev_02,2021-07-01,2021-12-31,0.0233240643388759,0.0328614072888147,0.5702479338842975,121,121,
samsung,persistence,dev_04,2022-07-01,2022-12-31,0.0239526434047978,0.0300318532806904,,0,81,
samsung,ohlcv_ridge,dev_04,2022-07-01,2022-12-31,0.0244411230222209,0.0302153440273016,0.4691358024691358,81,81,
samsung,persistence,dev_05,2023-01-01,2023-06-30,0.0215659510319049,0.028269182209908,,0,123,
samsung,ohlcv_ridge,dev_05,2023-01-01,2023-06-30,0.0426258817753422,0.0607911127531618,0.5121951219512195,123,123,
samsung,persistence,dev_06,2023-07-01,2023-12-31,0.0222179662901743,0.0278859079111809,,0,122,
samsung,ohlcv_ridge,dev_06,2023-07-01,2023-12-31,0.0226464454958406,0.0277577002101478,0.4918032786885246,122,122,
samsung,persistence,dev_07,2024-01-01,2024-06-30,0.026629143562935,0.0341157107891405,,0,121,
samsung,ohlcv_ridge,dev_07,2024-01-01,2024-06-30,0.0274288187831537,0.0344985177261836,0.4876033057851239,121,121,
samsung,persistence,dev_08,2024-07-01,2024-12-31,0.0477735008518564,0.0552427327454862,,0,64,
samsung,ohlcv_ridge,dev_08,2024-07-01,2024-12-31,0.0499984391491725,0.0572737991504467,0.296875,64,64,
samsung,persistence,dev_09,2025-01-01,2025-05-27,0.0379260489334276,0.0455059152743355,,0,70,
samsung,ohlcv_ridge,dev_09,2025-01-01,2025-05-27,0.0379545914137109,0.0456883285899339,0.5285714285714286,70,70,
samsung,persistence,all_used,2021-01-01,2025-05-27,0.0261105280103864,0.0342294953219477,,0,825,
samsung,ohlcv_ridge,all_used,2021-01-01,2025-05-27,0.0299236524088347,0.040584766459823,0.4848484848484848,825,825,
samsung,tcn_seed42,dev_01,2021-01-01,2021-06-30,0.021592000979984424,0.029275700543522753,0.43089430894308944,123,123,42.0
samsung,tcn_seed42,dev_02,2021-07-01,2021-12-31,0.023499298803258958,0.03249834218588841,0.5041322314049587,121,121,42.0
