target,model,fold,test_start,test_end,mae,rmse,direction_hit,direction_n,n,seed
sk_hynix,persistence,dev_01,2021-01-01,2021-06-30,0.0360220238021212,0.0461370348615819,,0,123,
sk_hynix,ohlcv_ridge,dev_01,2021-01-01,2021-06-30,0.0368528871756196,0.0468433137498856,0.4796747967479675,123,123,
sk_hynix,persistence,dev_02,2021-07-01,2021-12-31,0.0354719647386282,0.0455428738047866,,0,121,
sk_hynix,ohlcv_ridge,dev_02,2021-07-01,2021-12-31,0.0349233471323728,0.0450982768120291,0.5041322314049587,121,121,
sk_hynix,persistence,dev_04,2022-07-01,2022-12-31,0.0459266966828141,0.0549983651453785,,0,81,
sk_hynix,ohlcv_ridge,dev_04,2022-07-01,2022-12-31,0.0475197113796209,0.0567581108216852,0.4320987654320987,81,81,
sk_hynix,persistence,dev_06,2023-07-01,2023-12-31,0.0350054508152431,0.044210670688604,,0,122,
sk_hynix,ohlcv_ridge,dev_06,2023-07-01,2023-12-31,0.0359640363710667,0.0447686145547786,0.5163934426229508,122,122,
sk_hynix,persistence,dev_07,2024-01-01,2024-06-30,0.0445526975489123,0.055215672002336,,0,121,
sk_hynix,ohlcv_ridge,dev_07,2024-01-01,2024-06-30,0.0433317907889861,0.0532409024929427,0.6611570247933884,121,121,
sk_hynix,persistence,dev_08,2024-07-01,2024-12-31,0.0748705203523193,0.0906735976798954,,0,64,
sk_hynix,ohlcv_ridge,dev_08,2024-07-01,2024-12-31,0.0787140964493052,0.0945365877973905,0.3125,64,64,
sk_hynix,persistence,dev_09,2025-01-01,2025-05-27,0.0507406321985047,0.0605526861731098,,0,70,
sk_hynix,ohlcv_ridge,dev_09,2025-01-01,2025-05-27,0.0502723143274541,0.0609429497986528,0.5428571428571428,70,70,
sk_hynix,persistence,all_used,2021-01-01,2025-05-27,0.0433731881077845,0.0553159432816701,,0,702,
sk_hynix,ohlcv_ridge,all_used,2021-01-01,2025-05-27,0.0438678775580946,0.0559354325953105,0.5071225071225072,702,702,
sk_hynix,tcn_seed42,dev_01,2021-01-01,2021-06-30,0.03718671988113424,0.04670034728138214,0.4796747967479675,123,123,42.0
sk_hynix,tcn_seed42,dev_02,2021-07-01,2021-12-31,0.037051607469091405,0.0467200191781462,0.5454545454545454,121,121,42.0
sk_hynix,tcn_seed42,dev_04,2022-07-01,2022-12-31,0.04938800316590445,0.05772532362392349,0.3950617283950617,81,81,42.0
sk_hynix,tcn_seed42,dev_06,2023-07-01,2023-12-31,0.03488486573119283,0.04391285529175847,0.5245901639344263,122,122,42.0
sk_hynix,tcn_seed42,dev_07,2024-01-01,2024-06-30,0.04425590573701443,0.05454158543767075,0.5289256198347108,121,121,42.0
sk_hynix,tcn_seed42,dev_08,2024-07-01,2024-12-31,0.0790307621157686,0.0932059524780447,0.453125,64,64,42.0
sk_hynix,tcn_seed42,dev_09,2025-01-01,2025-05-27,0.049586127041210425,0.06013003847596199,0.5142857142857142,70,70,42.0
sk_hynix,tcn_seed42,all_used,2021-01-01,2025-05-27,0.044440961805208005,0.056064762679104437,0.4985754985754986,702,702,42.0
sk_hynix,tcn_seed43,dev_01,2021-01-01,2021-06-30,0.036585424443999655,0.045874685495006944,0.4715447154471545,123,123,43.0
sk_hynix,tcn_seed43,dev_02,2021-07-01,2021-12-31,0.03660803314474364,0.046682465398311335,0.49586776859504134,121,121,43.0
sk_hynix,tcn_seed43,dev_04,2022-07-01,2022-12-31,0.05080618892049614,0.059525727078368756,0.3950617283950617,81,81,43.0
sk_hynix,tcn_seed43,dev_06,2023-07-01,2023-12-31,0.03440980753435801,0.04311301826011813,0.5327868852459017,122,122,43.0
sk_hynix,tcn_seed43,dev_07,2024-01-01,2024-06-30,0.04560030537506349,0.0558547629520347,0.4049586776859504,121,121,43.0
sk_hynix,tcn_seed43,dev_08,2024-07-01,2024-12-31,0.07683246928880777,0.09247612240440746,0.46875,64,64,43.0
sk_hynix,tcn_seed43,dev_09,2025-01-01,2025-05-27,0.04929355475111042,0.061081994949038196,0.5571428571428572,70,70,43.0
sk_hynix,tcn_seed43,all_used,2021-01-01,2025-05-27,0.044342365892196464,0.0562641992236348,0.47435897435897434,702,702,43.0
sk_hynix,tcn_seed44,dev_01,2021-01-01,2021-06-30,0.037190159536152075,0.04665959949671656,0.4796747967479675,123,123,44.0
sk_hynix,tcn_seed44,dev_02,2021-07-01,2021-12-31,0.040670567269953904,0.0504054784402779,0.4214876033057851,121,121,44.0
sk_hynix,tcn_seed44,dev_04,2022-07-01,2022-12-31,0.049109397133760654,0.05738090305113535,0.37037037037037035,81,81,44.0
sk_hynix,tcn_seed44,dev_06,2023-07-01,2023-12-31,0.0354955646503349,0.04414540584332973,0.45901639344262296,122,122,44.0
sk_hynix,tcn_seed44,dev_07,2024-01-01,2024-06-30,0.04500250414630962,0.05461344726505118,0.5289256198347108,121,121,44.0
sk_hynix,tcn_seed44,dev_08,2024-07-01,2024-12-31,0.07743096989203654,0.09294749111140185,0.390625,64,64,44.0
sk_hynix,tcn_seed44,dev_09,2025-01-01,2025-05-27,0.049490333177734436,0.06054617952645159,0.5571428571428572,70,70,44.0
sk_hynix,tcn_seed44,all_used,2021-01-01,2025-05-27,0.045112616403164975,0.05661490038691593,0.46153846153846156,702,702,44.0
sk_hynix,tcn_mean,all_used,2021-01-01,2025-05-27,0.044273861667421574,0.05588912224555132,0.4985754985754986,702,702,
