run_id,prediction_date,as_of_date,model,rank,feature,value,contribution,p_up,p_down
20260911T052340_155553bbace4,2026-09-11,2026-09-10,No macro ensemble,1,us10y_level_z60,2.5819287300109863,-0.2056613590082238,0.1949904990878453,0.4424462469044782
20260911T052340_155553bbace4,2026-09-11,2026-09-10,No macro ensemble,2,micron_ret_1,-0.048999335616827,-0.1533178070525471,0.1949904990878453,0.4424462469044782
20260911T052340_155553bbace4,2026-09-11,2026-09-10,No macro ensemble,3,sox_ret_1,-0.0265813320875167,-0.0908918096023471,0.1949904990878453,0.4424462469044782
20260911T052340_155553bbace4,2026-09-11,2026-09-10,No macro ensemble,4,usdkrw_level_z60,-1.6770683526992798,-0.0795202821638151,0.1949904990878453,0.4424462469044782
20260911T052340_155553bbace4,2026-09-11,2026-09-10,No macro ensemble,5,cal_dow,4.0,-0.0653630886226892,0.1949904990878453,0.4424462469044782
20260911T092334_19d40f654256,2026-09-14,2026-09-11,No macro ensemble,1,us10y_level_z60,2.5819287300109863,-0.2034441023994631,0.2455792421525288,0.3759225006583739
20260911T092334_19d40f654256,2026-09-14,2026-09-11,No macro ensemble,2,micron_ret_1,-0.048999335616827,-0.1721356878934082,0.2455792421525288,0.3759225006583739
20260911T092334_19d40f654256,2026-09-14,2026-09-11,No macro ensemble,3,sox_ret_1,-0.0265813320875167,-0.0932210773935711,0.2455792421525288,0.3759225006583739
20260911T092334_19d40f654256,2026-09-14,2026-09-11,No macro ensemble,4,sam_ret_2,-0.0371057502925396,0.0812754492005002,0.2455792421525288,0.3759225006583739
20260911T092334_19d40f654256,2026-09-14,2026-09-11,No macro ensemble,5,gdr_overnight_signal,0.0201136153191328,0.0766577099120142,0.2455792421525288,0.3759225006583739
20260914T081209_4759145a29a9,2026-09-15,2026-09-14,No macro ensemble,1,us10y_level_z60,2.64357852935791,-0.2263724631322046,0.345453055360833,0.2522397456475653
20260914T081209_4759145a29a9,2026-09-15,2026-09-14,No macro ensemble,2,micron_ret_1,-0.0021996533032506,-0.145032252633399,0.345453055360833,0.2522397456475653
20260914T081209_4759145a29a9,2026-09-15,2026-09-14,No macro ensemble,3,us10y_ret_5,0.0447291061282157,-0.0550252466408449,0.345453055360833,0.2522397456475653
20260914T081209_4759145a29a9,2026-09-15,2026-09-14,No macro ensemble,4,nvidia_ret_5,-0.0434044487774372,-0.0435462242041009,0.345453055360833,0.2522397456475653
20260914T081209_4759145a29a9,2026-09-15,2026-09-14,No macro ensemble,5,gdr_overnight_signal,0.0590267851948738,0.0396278015713524,0.345453055360833,0.2522397456475653
20260915T115646_278250f44cea,2026-09-16,2026-09-15,No macro ensemble,1,us10y_level_z60,2.382806301116944,-0.186510011390341,0.1952902427397953,0.4762542876025013
20260915T115646_278250f44cea,2026-09-16,2026-09-15,No macro ensemble,2,micron_ret_1,-0.0525295622646808,-0.1714515862711731,0.1952902427397953,0.4762542876025013
20260915T115646_278250f44cea,2026-09-16,2026-09-15,No macro ensemble,3,nvidia_ret_5,-0.0831912532448768,-0.0850333099139498,0.1952902427397953,0.4762542876025013
20260915T115646_278250f44cea,2026-09-16,2026-09-15,No macro ensemble,4,sam_ret_2,-0.0423892103135585,0.08229433859221,0.1952902427397953,0.4762542876025013
20260915T115646_278250f44cea,2026-09-16,2026-09-15,No macro ensemble,5,sox_ret_1,-0.0585859045386314,-0.0759647308060958,0.1952902427397953,0.4762542876025013
20260916T115825_fd31b9bc4eac,2026-09-17,2026-09-16,No macro ensemble,1,us10y_level_z60,2.478363275527954,-0.1922836018461924,0.2763393981099885,0.3996182554923733
20260916T115825_fd31b9bc4eac,2026-09-17,2026-09-16,No macro ensemble,2,micron_ret_1,0.0038634533993899,-0.0659564475085288,0.2763393981099885,0.3996182554923733
20260916T115825_fd31b9bc4eac,2026-09-17,2026-09-16,No macro ensemble,3,peer_ret_5,-0.052262932062149,0.0537243809306632,0.2763393981099885,0.3996182554923733
20260916T115825_fd31b9bc4eac,2026-09-17,2026-09-16,No macro ensemble,4,nvidia_ret_5,-0.0590200014412403,-0.0502091981588083,0.2763393981099885,0.3996182554923733
20260916T115825_fd31b9bc4eac,2026-09-17,2026-09-16,No macro ensemble,5,gdr_overnight_signal,-0.0214434750378131,-0.0463144241656283,0.2763393981099885,0.3996182554923733
20260917T115724_6c25c229c6ba,2026-09-18,2026-09-17,No macro ensemble,1,us10y_level_z60,2.386249542236328,-0.1998962957971677,0.3150190135374436,0.374240569871359
20260917T115724_6c25c229c6ba,2026-09-18,2026-09-17,No macro ensemble,2,micron_ret_1,-0.0011319405166432,-0.1020257250035687,0.3150190135374436,0.374240569871359
20260917T115724_6c25c229c6ba,2026-09-18,2026-09-17,No macro ensemble,3,gdr_overnight_signal,0.0273443311452865,0.0670065786282859,0.3150190135374436,0.374240569871359
20260917T115724_6c25c229c6ba,2026-09-18,2026-09-17,No macro ensemble,4,cal_dow,4.0,-0.0593634936958551,0.3150190135374436,0.374240569871359
20260917T115724_6c25c229c6ba,2026-09-18,2026-09-17,No macro ensemble,5,sox_ret_1,0.0063138324767351,0.0402553472937602,0.3150190135374436,0.374240569871359
