model,kind,horizon_days,target_mode,config_hash,n,accuracy,mean_log_loss,mean_brier,point_forecasts,price_mae,price_mape,interval_coverage
LightGBM,direction,1,close_to_close,0464a8f5fe0430d37f44,1,1.0,0.569929491312034,0.2872606937071314,0,,,
LightGBM,direction,1,close_to_close,cb6a70d1f50a0681a9bb,1,1.0,0.5575263853250767,0.28005260908871243,0,,,
Logistic,direction,1,close_to_close,0464a8f5fe0430d37f44,1,1.0,0.8804847075905436,0.5232890831566366,0,,,
Logistic,direction,1,close_to_close,cb6a70d1f50a0681a9bb,1,1.0,0.8821796941494422,0.5232979235149452,0,,,
Mean ensemble,direction,1,close_to_close,0464a8f5fe0430d37f44,1,1.0,0.7131996680030237,0.3964782255585216,0,,,
Mean ensemble,direction,1,close_to_close,cb6a70d1f50a0681a9bb,1,1.0,0.7067355249906102,0.39219264281396615,0,,,
No macro ensemble,direction,1,close_to_close,0464a8f5fe0430d37f44,1,1.0,0.6323426541750596,0.33745416562833075,0,,,
No macro ensemble,direction,1,close_to_close,cb6a70d1f50a0681a9bb,1,1.0,0.7559273956225349,0.4337455691862534,0,,,
Ridge,price,1,close_to_close,0464a8f5fe0430d37f44,1,,,,1,113652.03734758496,0.06374202879842118,0.0
Ridge,price,1,close_to_close,cb6a70d1f50a0681a9bb,1,,,,1,114774.52523774072,0.06437157893311313,0.0
