month,value
1998-01-01,99.80199
1998-02-01,99.64661
1998-03-01,99.49115
1998-04-01,99.32598
1998-05-01,99.15258
1998-06-01,98.98087
1998-07-01,98.82972
1998-08-01,98.71574
1998-09-01,98.65878
1998-10-01,98.67521
1998-11-01,98.77233
1998-12-01,98.936
1999-01-01,99.15313
1999-02-01,99.40977
1999-03-01,99.68061
1999-04-01,99.95538
1999-05-01,100.2179
1999-06-01,100.4622
1999-07-01,100.6789
1999-08-01,100.8663
1999-09-01,101.031
1999-10-01,101.1816
1999-11-01,101.3188
1999-12-01,101.4329
2000-01-01,101.5144
2000-02-01,101.5535
2000-03-01,101.5595
2000-04-01,101.5332
2000-05-01,101.471
2000-06-01,101.3754
2000-07-01,101.2428
2000-08-01,101.072
2000-09-01,100.8615
2000-10-01,100.6102
2000-11-01,100.3266
2000-12-01,100.0228
2001-01-01,99.72552
2001-02-01,99.46455
2001-03-01,99.25272
2001-04-01,99.08873
2001-05-01,98.96525
2001-06-01,98.84553
2001-07-01,98.72366
2001-08-01,98.6069
2001-09-01,98.52006
2001-10-01,98.50885
2001-11-01,98.59396
2001-12-01,98.76212
2002-01-01,98.97826
2002-02-01,99.20697
2002-03-01,99.40683
2002-04-01,99.53413
2002-05-01,99.56813
2002-06-01,99.51716
2002-07-01,99.41154
2002-08-01,99.28175
2002-09-01,99.14569
2002-10-01,99.0211
2002-11-01,98.91614
2002-12-01,98.81988
2003-01-01,98.72739
2003-02-01,98.65459
2003-03-01,98.62813
2003-04-01,98.67124
2003-05-01,98.78071
2003-06-01,98.94806
2003-07-01,99.1599
2003-08-01,99.4062
2003-09-01,99.67641
2003-10-01,99.94936
2003-11-01,100.1987
2003-12-01,100.4043
2004-01-01,100.5549
2004-02-01,100.642
2004-03-01,100.6721
2004-04-01,100.6578
2004-05-01,100.6172
2004-06-01,100.5681
2004-07-01,100.5204
2004-08-01,100.4814
2004-09-01,100.4586
2004-10-01,100.4472
2004-11-01,100.4375
2004-12-01,100.4114
2005-01-01,100.354
2005-02-01,100.2671
2005-03-01,100.165
2005-04-01,100.0737
2005-05-01,100.0144
2005-06-01,100.0015
2005-07-01,100.0279
2005-08-01,100.0837
2005-09-01,100.1663
2005-10-01,100.2759
2005-11-01,100.4073
2005-12-01,100.5442
2006-01-01,100.669
2006-02-01,100.7718
2006-03-01,100.8476
2006-04-01,100.8946
2006-05-01,100.9184
2006-06-01,100.9364
2006-07-01,100.967
2006-08-01,101.0314
2006-09-01,101.1395
2006-10-01,101.2845
2006-11-01,101.4555
2006-12-01,101.6377
2007-01-01,101.8183
2007-02-01,102.0046
2007-03-01,102.1892
2007-04-01,102.3654
2007-05-01,102.5178
2007-06-01,102.6349
2007-07-01,102.7114
2007-08-01,102.744
2007-09-01,102.7307
2007-10-01,102.6595
2007-11-01,102.5167
2007-12-01,102.3096
2008-01-01,102.0385
2008-02-01,101.6978
2008-03-01,101.3046
2008-04-01,100.8585
2008-05-01,100.3474
2008-06-01,99.75943
2008-07-01,99.08011
2008-08-01,98.32515
2008-09-01,97.52095
2008-10-01,96.7318
2008-11-01,96.06191
2008-12-01,95.59465
2009-01-01,95.37138
2009-02-01,95.41713
2009-03-01,95.70148
2009-04-01,96.1854
2009-05-01,96.7998
2009-06-01,97.47874
2009-07-01,98.1625
2009-08-01,98.80291
2009-09-01,99.37045
2009-10-01,99.84911
2009-11-01,100.235
2009-12-01,100.5299
2010-01-01,100.7349
2010-02-01,100.8513
2010-03-01,100.8973
2010-04-01,100.8763
2010-05-01,100.8068
2010-06-01,100.726
2010-07-01,100.6743
2010-08-01,100.6772
2010-09-01,100.7356
2010-10-01,100.8351
2010-11-01,100.9554
2010-12-01,101.0689
2011-01-01,101.1523
2011-02-01,101.183
2011-03-01,101.1498
2011-04-01,101.053
2011-05-01,100.8996
2011-06-01,100.7014
2011-07-01,100.4781
2011-08-01,100.2557
2011-09-01,100.0699
2011-10-01,99.94233
2011-11-01,99.87485
2011-12-01,99.85453
2012-01-01,99.85752
2012-02-01,99.85243
2012-03-01,99.8217
2012-04-01,99.7627
2012-05-01,99.68821
2012-06-01,99.61539
2012-07-01,99.56287
2012-08-01,99.54114
2012-09-01,99.55677
2012-10-01,99.60687
2012-11-01,99.68594
2012-12-01,99.78839
2013-01-01,99.90147
2013-02-01,100.0112
2013-03-01,100.1
2013-04-01,100.1683
2013-05-01,100.2234
2013-06-01,100.2689
2013-07-01,100.3074
2013-08-01,100.344
2013-09-01,100.3743
2013-10-01,100.391
2013-11-01,100.3916
2013-12-01,100.3722
2014-01-01,100.338
2014-02-01,100.3064
2014-03-01,100.2836
2014-04-01,100.2617
2014-05-01,100.2391
2014-06-01,100.2171
2014-07-01,100.1982
2014-08-01,100.1848
2014-09-01,100.1772
2014-10-01,100.1724
2014-11-01,100.169
2014-12-01,100.1673
2015-01-01,100.166
2015-02-01,100.1618
2015-03-01,100.1491
2015-04-01,100.1171
2015-05-01,100.0534
2015-06-01,99.95288
2015-07-01,99.82441
2015-08-01,99.69016
2015-09-01,99.57141
2015-10-01,99.48048
2015-11-01,99.40804
2015-12-01,99.34529
2016-01-01,99.29642
2016-02-01,99.26799
2016-03-01,99.26883
2016-04-01,99.29346
2016-05-01,99.33307
