vintage_date,month,value
2026-09-12,2025-03,100.071
2026-09-12,2025-04,100.0315
2026-09-12,2025-05,100.0118
2026-09-12,2025-06,100.012
2026-09-12,2025-07,100.0247
2026-09-12,2025-08,100.048
2026-09-12,2025-09,100.0811
2026-09-12,2025-10,100.125
2026-09-12,2025-11,100.1802
2026-09-12,2025-12,100.2409
2026-09-12,2026-01,100.2978
2026-09-12,2026-02,100.3338
2026-09-12,2026-03,100.3428
2026-09-12,2026-04,100.3338
2026-09-12,2026-05,100.3185
2026-09-12,2026-06,100.3073
2026-09-12,2026-07,100.3007
2026-09-12,2026-08,100.2968
