month,value
1995-01-01,102.1414
1995-02-01,102.2599
1995-03-01,102.3563
1995-04-01,102.4247
1995-05-01,102.4621
1995-06-01,102.4635
1995-07-01,102.4124
1995-08-01,102.3017
1995-09-01,102.1357
1995-10-01,101.9193
1995-11-01,101.667
1995-12-01,101.3903
1996-01-01,101.1027
1996-02-01,100.8168
1996-03-01,100.5129
1996-04-01,100.1637
1996-05-01,99.76363
1996-06-01,99.33535
1996-07-01,98.90846
1996-08-01,98.51379
1996-09-01,98.1841
1996-10-01,97.94235
1996-11-01,97.8028
1996-12-01,97.77409
1997-01-01,97.82276
1997-02-01,97.93202
1997-03-01,98.09337
1997-04-01,98.30152
1997-05-01,98.51814
1997-06-01,98.66479
1997-07-01,98.63885
1997-08-01,98.3725
1997-09-01,97.84602
1997-10-01,97.12544
1997-11-01,96.33296
1997-12-01,95.61381
1998-01-01,95.09029
1998-02-01,94.82259
1998-03-01,94.81523
1998-04-01,95.03168
1998-05-01,95.42815
1998-06-01,95.96599
1998-07-01,96.60661
1998-08-01,97.29307
1998-09-01,97.97269
1998-10-01,98.62615
1998-11-01,99.29711
1998-12-01,100.0436
1999-01-01,100.8826
1999-02-01,101.7827
1999-03-01,102.6842
1999-04-01,103.5221
1999-05-01,104.2538
1999-06-01,104.8519
1999-07-01,105.2858
1999-08-01,105.5178
1999-09-01,105.5477
1999-10-01,105.402
1999-11-01,105.133
1999-12-01,104.7563
2000-01-01,104.3085
2000-02-01,103.8385
2000-03-01,103.4124
2000-04-01,103.0517
2000-05-01,102.7194
2000-06-01,102.3697
2000-07-01,101.9406
2000-08-01,101.3927
2000-09-01,100.7077
2000-10-01,99.91739
2000-11-01,99.0959
2000-12-01,98.3344
2001-01-01,97.70995
2001-02-01,97.31325
2001-03-01,97.15739
2001-04-01,97.17009
2001-05-01,97.28085
2001-06-01,97.45867
2001-07-01,97.70976
2001-08-01,98.03011
2001-09-01,98.42517
2001-10-01,98.92225
2001-11-01,99.51974
2001-12-01,100.1754
2002-01-01,100.8288
2002-02-01,101.4213
2002-03-01,101.8955
2002-04-01,102.1815
2002-05-01,102.2708
2002-06-01,102.2006
2002-07-01,102.0211
2002-08-01,101.7534
2002-09-01,101.4237
2002-10-01,101.0295
2002-11-01,100.5692
2002-12-01,100.0356
2003-01-01,99.45165
2003-02-01,98.91668
2003-03-01,98.52181
2003-04-01,98.30717
2003-05-01,98.28139
2003-06-01,98.42831
2003-07-01,98.69839
2003-08-01,99.03413
2003-09-01,99.36285
2003-10-01,99.64317
2003-11-01,99.86752
2003-12-01,100.0358
2004-01-01,100.15
2004-02-01,100.2101
2004-03-01,100.2308
2004-04-01,100.2356
2004-05-01,100.221
2004-06-01,100.196
2004-07-01,100.1633
2004-08-01,100.1114
2004-09-01,100.0339
2004-10-01,99.93155
2004-11-01,99.83217
2004-12-01,99.76168
2005-01-01,99.74654
2005-02-01,99.79144
2005-03-01,99.86021
2005-04-01,99.93424
2005-05-01,100.0378
2005-06-01,100.1946
2005-07-01,100.397
2005-08-01,100.6258
2005-09-01,100.8411
2005-10-01,101.0109
2005-11-01,101.1043
2005-12-01,101.1075
2006-01-01,101.0191
2006-02-01,100.8685
2006-03-01,100.6883
2006-04-01,100.5056
2006-05-01,100.3415
2006-06-01,100.2267
2006-07-01,100.1916
2006-08-01,100.2327
2006-09-01,100.2949
2006-10-01,100.3353
2006-11-01,100.3355
2006-12-01,100.3215
2007-01-01,100.3275
2007-02-01,100.3904
2007-03-01,100.5153
2007-04-01,100.7034
2007-05-01,100.926
2007-06-01,101.1396
2007-07-01,101.2883
2007-08-01,101.32
2007-09-01,101.2191
2007-10-01,100.9727
2007-11-01,100.6019
2007-12-01,100.1473
2008-01-01,99.64794
2008-02-01,99.15364
2008-03-01,98.69546
2008-04-01,98.27975
2008-05-01,97.90365
2008-06-01,97.55972
2008-07-01,97.2641
2008-08-01,97.02107
2008-09-01,96.82734
2008-10-01,96.72438
2008-11-01,96.80201
2008-12-01,97.12253
2009-01-01,97.68504
2009-02-01,98.4381
