month,value
2015-01-01,4685415956.0
2015-02-01,4204635784.0
2015-03-01,4833780151.0
2015-04-01,4691452685.0
2015-05-01,4653856861.0
2015-06-01,4729683416.0
2015-07-01,4718199219.0
2015-08-01,5023630248.0
2015-09-01,5407669518.0
2015-10-01,5146774220.0
2015-11-01,4792756383.0
2015-12-01,4424647179.0
2016-01-01,4147683890.0
2016-02-01,3859146697.0
2016-03-01,4920583421.0
2016-04-01,4247321943.0
2016-05-01,4495104001.0
2016-06-01,4892897113.0
2016-07-01,4705609187.0
2016-08-01,5262523057.0
2016-09-01,5322284954.0
2016-10-01,5188035918.0
2016-11-01,5459384720.0
2016-12-01,5456438349.0
2017-01-01,5960017539.0
2017-02-01,6088053428.0
2017-03-01,7123252055.0
2017-04-01,6701894315.0
2017-05-01,7052996130.0
2017-06-01,7560605437.0
2017-07-01,7406902923.0
2017-08-01,8152776442.0
2017-09-01,9044279446.0
2017-10-01,8947065534.0
2017-11-01,9072570165.0
2017-12-01,9182156595.0
2018-01-01,9133423908.0
2018-02-01,8478147819.0
2018-03-01,10244743806.0
2018-04-01,9067294919.0
2018-05-01,9909725188.0
2018-06-01,10148424155.0
2018-07-01,9542626376.0
2018-08-01,10624376434.0
2018-09-01,11482719945.0
2018-10-01,10535897767.0
2018-11-01,9227943703.0
2018-12-01,7395612540.0
2019-01-01,6653190496.0
2019-02-01,6061912919.0
2019-03-01,7938065916.0
2019-04-01,7586143742.0
2019-05-01,6699211209.0
2019-06-01,7444021313.0
2019-07-01,6868457959.0
2019-08-01,7248411439.0
2019-09-01,7600102872.0
2019-10-01,7094117705.0
2019-11-01,6608680884.0
2019-12-01,6511475389.0
2020-01-01,6552778868.0
2020-02-01,6662784703.0
2020-03-01,7664824634.0
2020-04-01,6066279614.0
2020-05-01,6972653810.0
2020-06-01,7072507783.0
2020-07-01,7077347765.0
2020-08-01,7444476890.0
2020-09-01,8302804561.0
2020-10-01,7852464932.0
2020-11-01,7760244077.0
2020-12-01,8310468115.0
2021-01-01,7808783868.0
2021-02-01,7614090651.0
2021-03-01,8581084133.0
2021-04-01,8306005226.0
2021-05-01,9068908499.0
2021-06-01,9942527645.0
2021-07-01,9698241784.0
2021-08-01,10466021291.0
2021-09-01,10930879827.0
2021-10-01,10036563218.0
2021-11-01,10734143631.0
2021-12-01,11152386911.0
2022-01-01,9831205803.0
2022-02-01,9307933725.0
2022-03-01,11640437245.0
2022-04-01,9730264514.0
2022-05-01,10242912570.0
2022-06-01,10969330106.0
2022-07-01,10358454509.0
2022-08-01,10049614747.0
2022-09-01,10265554275.0
2022-10-01,8786200710.0
2022-11-01,8111611562.0
2022-12-01,8137242954.0
2023-01-01,5778223866.0
2023-02-01,5683904735.0
2023-03-01,7791526553.0
2023-04-01,6063963594.0
2023-05-01,6985364605.0
2023-06-01,8162422077.0
2023-07-01,6906704715.0
2023-08-01,8021743290.0
2023-09-01,8728785589.0
2023-10-01,8117853051.0
2023-11-01,8477903452.0
2023-12-01,9294376266.0
2024-01-01,8581452229.0
2024-02-01,8943929157.0
2024-03-01,9883355122.0
2024-04-01,8931512732.0
2024-05-01,10106309093.0
2024-06-01,11525106513.0
2024-07-01,10061366172.0
2024-08-01,10441790919.0
2024-09-01,11626609994.0
2024-10-01,11178072600.0
2024-11-01,10731770757.0
2024-12-01,11959964481.0
2025-01-01,8551791825.0
2025-02-01,8382360837.0
2025-03-01,10736246184.0
2025-04-01,10098997675.0
2025-05-01,11862143477.0
2025-06-01,12516353955.0
2025-07-01,12563076878.0
2025-08-01,12871433538.0
2025-09-01,13932385375.0
2025-10-01,13463704085.0
2025-11-01,14355540644.0
2025-12-01,17042189549.0
2026-01-01,16731715193.0
2026-02-01,19745246462.0
2026-03-01,25202207370.0
2026-04-01,25544709698.0
2026-05-01,29751780227.0
2026-06-01,33910686805.0
2026-07-01,33102086216.0
2026-08-01,38609941937.0
