month,days,value,total
2025-07,10,3824839000.0,19385119000.0
2025-07,20,7880336000.0,36058354000.0
2025-07,31,14900808000.0,60724322000.0
2025-08,10,3896567000.0,14646230000.0
2025-08,20,8712461000.0,35394043000.0
2025-08,31,15299467000.0,58259332000.0
2025-09,10,4453532000.0,19154390000.0
2025-09,20,9495449000.0,40050000000.0
2025-09,31,16793796000.0,65904118000.0
2025-10,10,4502158000.0,12925797000.0
2025-10,20,8532873000.0,30003320000.0
2025-10,31,15861970000.0,59511578000.0
2025-11,10,3857254000.0,15794269000.0
2025-11,20,9752081000.0,38419340000.0
2025-11,31,17442597000.0,60752618000.0
2025-12,10,5271795000.0,20539795000.0
2025-12,20,11645487000.0,42971602000.0
2025-12,31,20917832000.0,69513624000.0
2026-01,10,4636494000.0,15573451000.0
2026-01,20,10731563000.0,36347334000.0
2026-01,31,20687770000.0,65843637000.0
2026-02,10,6728639000.0,21405437000.0
2026-02,20,15110747000.0,43694567000.0
2026-02,31,25254092000.0,67644342000.0
2026-03,10,7588184000.0,22047961000.0
2026-03,20,18657336000.0,54305608000.0
2026-03,31,32972552000.0,87363746000.0
2026-04,10,8572668000.0,25126248000.0
2026-04,20,18285235000.0,50268009000.0
2026-04,31,32037742000.0,85750598000.0
2026-05,10,8538611000.0,17939291000.0
2026-05,20,21950844000.0,52497683000.0
2026-05,31,37286222000.0,87552620000.0
2026-06,10,11066419000.0,28480871000.0
2026-06,20,25503658000.0,61728993000.0
2026-06,31,44942586000.0,101959795000.0
2026-07,10,11210210000.0,29954981000.0
2026-07,20,22120084000.0,55208200000.0
2026-07,31,41173418000.0,99190335000.0
2026-08,10,9951704000.0,21263370000.0
2026-08,20,26034569000.0,55219260000.0
2026-08,31,46829319000.0,98282430000.0
2026-09,10,16483056000.0,34973081000.0
