date,foreign_net,inst_net,indiv_net,volume,foreign_ratio
2014-10-01,4145.0,-21815.0,,238596.0,51.84
2014-10-02,-20447.0,-4374.0,,254655.0,51.82
2014-10-06,1523.0,-3348.0,,425058.0,51.82
2014-10-07,460.0,12209.0,,202983.0,51.82
2014-10-08,11683.0,-42985.0,,294411.0,51.83
2014-10-10,-7721.0,-19708.0,,436749.0,51.82
2014-10-13,-3887.0,18670.0,,226895.0,51.82
2014-10-14,42020.0,-164.0,,331451.0,51.85
2014-10-15,9983.0,-12485.0,,282872.0,51.86
2014-10-16,41321.0,-42419.0,,302966.0,51.89
2014-10-17,-19697.0,-194.0,,325635.0,51.87
2014-10-20,84478.0,-73986.0,,189535.0,51.93
2014-10-21,39592.0,-47874.0,,235321.0,51.95
2014-10-22,73553.0,-40567.0,,222554.0,52.0
2014-10-23,48295.0,-43970.0,,170118.0,52.04
2014-10-24,50017.0,-24556.0,,167569.0,52.07
2014-10-27,2577.0,-23809.0,,167772.0,52.07
2014-10-28,1026.0,-2013.0,,124877.0,52.07
2014-10-29,12253.0,32960.0,,274522.0,52.08
2014-10-30,175705.0,-72159.0,,491339.0,52.19
2014-10-31,213743.0,-81115.0,,772463.0,52.33
2014-11-03,39691.0,-15236.0,,269516.0,52.36
2014-11-04,10064.0,-9575.0,,260006.0,52.37
2014-11-05,-333.0,-1500.0,,203243.0,52.37
2014-11-06,16756.0,-25014.0,,171403.0,52.38
2014-11-07,5046.0,-7754.0,,120604.0,52.38
2014-11-10,94436.0,-2297.0,,384058.0,52.44
2014-11-11,-9827.0,-13302.0,,242828.0,52.45
2014-11-12,-1356.0,-6891.0,,181592.0,52.45
2014-11-13,19045.0,-54331.0,,230943.0,52.47
2014-11-14,4016.0,-27405.0,,212435.0,52.47
2014-11-17,2484.0,14430.0,,193879.0,52.47
2014-11-18,-5567.0,29520.0,,215094.0,52.47
2014-11-19,-18800.0,22285.0,,250055.0,52.45
2014-11-20,15000.0,-15408.0,,200483.0,52.46
2014-11-21,-2226.0,12813.0,,246727.0,52.46
