month,value
1995-01-01,9262065000.0
1995-02-01,9531744000.0
1995-03-01,9775273000.0
1995-04-01,10135400000.0
1995-05-01,10479250000.0
1995-06-01,10555420000.0
1995-07-01,10800910000.0
1995-08-01,11175060000.0
1995-09-01,10974020000.0
1995-10-01,11032660000.0
1995-11-01,10839540000.0
1995-12-01,10649000000.0
1996-01-01,11497460000.0
1996-02-01,11336350000.0
1996-03-01,11184680000.0
1996-04-01,10745150000.0
1996-05-01,10949180000.0
1996-06-01,10669190000.0
1996-07-01,10234910000.0
1996-08-01,10144700000.0
1996-09-01,10173070000.0
1996-10-01,11145030000.0
1996-11-01,11001520000.0
1996-12-01,10920610000.0
1997-01-01,10637170000.0
1997-02-01,10480920000.0
1997-03-01,10968980000.0
1997-04-01,11349900000.0
1997-05-01,11522510000.0
1997-06-01,11719390000.0
1997-07-01,12182670000.0
1997-08-01,11614070000.0
1997-09-01,11529010000.0
1997-10-01,11740080000.0
1997-11-01,11488180000.0
1997-12-01,11036500000.0
1998-01-01,10740900000.0
1998-02-01,12189320000.0
1998-03-01,11871760000.0
1998-04-01,11784420000.0
1998-05-01,11262010000.0
1998-06-01,10839090000.0
1998-07-01,10369640000.0
1998-08-01,10282860000.0
1998-09-01,10755610000.0
1998-10-01,10280030000.0
1998-11-01,11050340000.0
1998-12-01,11412130000.0
1999-01-01,10609280000.0
1999-02-01,10396070000.0
1999-03-01,11244120000.0
1999-04-01,11445930000.0
1999-05-01,11303100000.0
1999-06-01,12158430000.0
1999-07-01,12195310000.0
1999-08-01,11909540000.0
1999-09-01,12099140000.0
1999-10-01,12872980000.0
1999-11-01,13571880000.0
1999-12-01,13812780000.0
2000-01-01,13779630000.0
2000-02-01,14021710000.0
2000-03-01,13892580000.0
2000-04-01,13598430000.0
2000-05-01,14357880000.0
2000-06-01,14680610000.0
2000-07-01,14921720000.0
2000-08-01,15486070000.0
2000-09-01,15209150000.0
2000-10-01,14663760000.0
2000-11-01,14330080000.0
2000-12-01,14031230000.0
2001-01-01,14096680000.0
2001-02-01,14720080000.0
2001-03-01,13559280000.0
2001-04-01,12242680000.0
2001-05-01,12985770000.0
2001-06-01,12591290000.0
2001-07-01,11708640000.0
