year,saving_rate,investment_rate,current_account
1990,39.5,40.1,-28.042
1991,39.5,41.6,-80.335
1992,38.6,39.1,-29.012
1993,38.6,38.1,16.881
1994,38.2,38.9,-47.935
1995,38.0,39.5,-102.297
1996,36.2,39.9,-244.611
1997,36.2,37.5,-108.115
1998,38.1,28.3,401.128
1999,36.0,31.5,217.846
2000,34.4,33.2,101.808
2001,32.6,32.1,21.652
2002,32.0,31.5,40.661
2003,33.4,32.6,113.083
2004,35.8,32.8,292.899
2005,34.2,33.0,122.086
2006,33.2,33.2,20.948
2007,33.7,33.4,104.725
2008,33.4,33.7,17.53
2009,33.3,29.6,330.876
2010,35.1,32.9,279.505
2011,34.3,33.2,166.382
2012,34.2,31.0,487.906
2013,34.5,29.8,772.589
2014,34.6,29.7,830.296
2015,35.9,29.3,1051.186
2016,36.4,30.0,979.237
2017,36.5,31.9,752.309
2018,35.5,31.2,774.665
2019,34.2,31.0,596.761
2020,35.6,31.3,765.034
2021,36.4,32.3,838.791
2022,34.1,33.2,232.384
2023,32.9,31.3,325.302
2024,34.7,29.5,999.735
2025,35.1,28.6,1230.538
