date,value
2014-07-01,101.38
2014-07-02,105.77
2014-07-03,107.92
2014-07-04,111.76
2014-07-05,112.14
2014-07-06,111.53
2014-07-07,110.61
2014-07-08,104.98
2014-07-09,99.63
2014-07-10,98.66
2014-07-11,94.72
2014-07-12,94.46
2014-07-13,94.79
2014-07-14,94.91
2014-07-15,100.73
2014-07-16,101.9
2014-07-17,102.94
2014-07-18,103.46
2014-07-19,103.66
2014-07-20,104.14
2014-07-21,104.27
2014-07-22,103.53
2014-07-23,106.06
2014-07-24,105.48
2014-07-25,108.48
2014-07-26,108.36
2014-07-27,108.24
2014-07-28,109.63
2014-07-29,109.6
2014-07-30,109.9
2014-07-31,108.27
2014-08-01,106.7
2014-08-02,106.52
2014-08-03,107.2
2014-08-04,106.38
2014-08-05,106.19
2014-08-06,106.2
2014-08-07,107.1
2014-08-08,106.38
2014-08-09,106.62
2014-08-10,105.39
2014-08-11,105.31
2014-08-12,106.65
2014-08-13,107.31
2014-08-14,107.04
2014-08-15,108.82
2014-08-16,108.98
2014-08-17,110.48
2014-08-18,110.2
2014-08-19,110.78
2014-08-20,111.64
2014-08-21,112.35
2014-08-22,113.17
2014-08-23,112.92
2014-08-24,112.13
2014-08-25,111.25
2014-08-26,110.02
2014-08-27,109.35
2014-08-28,109.79
2014-08-29,107.81
2014-08-30,108.35
2014-08-31,108.64
2014-09-01,108.28
2014-09-02,105.22
2014-09-03,103.38
2014-09-04,102.1
2014-09-05,101.14
2014-09-06,100.83
2014-09-07,100.53
2014-09-08,99.7
2014-09-09,101.67
2014-09-10,98.58
2014-09-11,97.68
2014-09-12,98.19
2014-09-13,97.85
2014-09-14,97.3
2014-09-15,96.79
2014-09-16,97.6
2014-09-17,100.5
2014-09-18,101.17
2014-09-19,104.06
2014-09-20,104.52
2014-09-21,104.56
2014-09-22,104.96
2014-09-23,103.75
2014-09-24,99.44
2014-09-25,98.42
2014-09-26,94.5
2014-09-27,93.93
2014-09-28,94.18
2014-09-29,95.33
2014-09-30,96.17
2014-10-01,98.23
2014-10-02,96.32
2014-10-03,97.16
2014-10-04,97.9
2014-10-05,96.97
2014-10-06,98.31
2014-10-07,94.17
2014-10-08,92.92
2014-10-09,94.39
2014-10-10,90.99
2014-10-11,89.59
2014-10-12,88.86
2014-10-13,82.57
2014-10-14,86.46
2014-10-15,86.0
2014-10-16,83.67
2014-10-17,85.03
2014-10-18,85.41
2014-10-19,85.97
2014-10-20,90.3
2014-10-21,89.15
2014-10-22,92.32
2014-10-23,98.17
2014-10-24,99.66
2014-10-25,99.7
2014-10-26,100.06
2014-10-27,99.62
2014-10-28,100.2
2014-10-29,102.97
2014-10-30,99.64
2014-10-31,101.58
2014-11-01,102.28
2014-11-02,102.16
2014-11-03,100.27
2014-11-04,100.38
2014-11-05,97.35
2014-11-06,100.1
2014-11-07,100.46
2014-11-08,99.97
2014-11-09,99.84
2014-11-10,103.62
2014-11-11,108.92
2014-11-12,110.25
2014-11-13,109.74
2014-11-14,108.48
2014-11-15,108.8
2014-11-16,109.15
2014-11-17,106.86
2014-11-18,103.06
2014-11-19,101.83
2014-11-20,100.45
2014-11-21,102.02
2014-11-22,101.66
2014-11-23,102.27
2014-11-24,105.64
2014-11-25,105.81
2014-11-26,105.17
2014-11-27,105.26
2014-11-28,102.65
2014-11-29,102.61
2014-11-30,101.58
2014-12-01,99.27
2014-12-02,96.71
2014-12-03,98.64
2014-12-04,100.8
2014-12-05,101.81
2014-12-06,102.1
2014-12-07,102.65
2014-12-08,103.35
2014-12-09,103.54
2014-12-10,99.2
2014-12-11,95.37
2014-12-12,96.63
2014-12-13,96.22
2014-12-14,95.48
2014-12-15,93.91
2014-12-16,92.89
2014-12-17,94.46
2014-12-18,96.94
2014-12-19,97.27
2014-12-20,97.34
2014-12-21,97.47
2014-12-22,99.45
2014-12-23,103.27
2014-12-24,105.52
