quarter,value
2016Q1,6675812000000.0
2016Q2,8143950000000.0
2016Q3,5200089000000.0
2016Q4,9220821000000.0
2017Q1,9898361000000.0
2017Q2,14066547000000.0
2017Q3,14533159000000.0
2017Q4,15146971000000.0
2018Q1,15642170000000.0
2018Q2,14869035000000.0
2018Q3,17574865000000.0
2018Q4,10800599000000.0
2019Q1,6233282000000.0
2019Q2,6597065000000.0
2019Q3,7777892000000.0
2019Q4,7160270000000.0
2020Q1,6447345000000.0
2020Q2,8146292000000.0
2020Q3,12353238000000.0
2020Q4,9047001000000.0
2021Q1,9382868000000.0
2021Q2,12566745000000.0
2021Q3,15817531000000.0
2021Q4,13866712000000.0
2022Q1,14121409000000.0
2022Q2,14097045000000.0
2022Q3,10852045000000.0
2022Q4,4306131000000.0
2023Q1,640178000000.0
2023Q2,668547000000.0
2023Q3,2433534000000.0
2023Q4,2824717000000.0
2024Q1,6606009000000.0
2024Q2,10443878000000.0
2024Q3,9183371000000.0
2024Q4,6492703000000.0
2025Q1,6685272000000.0
2025Q2,4676057000000.0
2025Q3,12166062000000.0
2025Q4,20073660000000.0
2026Q1,57232797000000.0
2026Q2,89492412000000.0
