quarter,value
2016Q1,561798000000.0
2016Q2,452853000000.0
2016Q3,725956000000.0
2016Q4,1536139000000.0
2017Q1,2467599000000.0
2017Q2,3050700000000.0
2017Q3,3737193000000.0
2017Q4,4465834000000.0
2018Q1,4367338000000.0
2018Q2,5573917000000.0
2018Q3,6472420000000.0
2018Q4,4430075000000.0
2019Q1,1366490000000.0
2019Q2,637630000000.0
2019Q3,472561000000.0
2019Q4,236037000000.0
2020Q1,800301000000.0
2020Q2,1946715000000.0
2020Q3,1299696000000.0
2020Q4,965912000000.0
2021Q1,1324421000000.0
2021Q2,2694574000000.0
2021Q3,4171821000000.0
2021Q4,4219524000000.0
2022Q1,2859615000000.0
2022Q2,4192617000000.0
2022Q3,1655559000000.0
2022Q4,-1898374000000.0
2023Q1,-3402302000000.0
2023Q2,-2882084000000.0
2023Q3,-1791961000000.0
2023Q4,346034000000.0
2024Q1,2886029000000.0
2024Q2,5468536000000.0
2024Q3,7029958000000.0
2024Q4,8082796000000.0
2025Q1,7440504000000.0
2025Q2,9212851000000.0
2025Q3,11383390000000.0
2025Q4,19169574000000.0
2026Q1,37610283000000.0
2026Q2,60542608000000.0
