month,value
2005-01-01,2406661094.0
2005-02-01,2249402172.0
2005-03-01,2533401336.0
2005-04-01,2400419891.0
2005-05-01,2485534768.0
2005-06-01,2526304924.0
2005-07-01,2623500115.0
2005-08-01,2611971155.0
2005-09-01,2597951973.0
2005-10-01,2627947564.0
2005-11-01,2534374449.0
2005-12-01,2388911136.0
2006-01-01,2397034442.0
2006-02-01,2286707403.0
2006-03-01,2567425638.0
2006-04-01,2485008086.0
2006-05-01,2635114494.0
2006-06-01,2576500858.0
2006-07-01,2623238856.0
2006-08-01,2805598036.0
2006-09-01,2982603691.0
2006-10-01,3072057582.0
2006-11-01,3442097988.0
2006-12-01,3356784391.0
2007-01-01,3594865853.0
2007-02-01,3091078658.0
2007-03-01,3205043224.0
2007-04-01,2866289710.0
2007-05-01,2920378371.0
2007-06-01,3192728394.0
2007-07-01,3406176581.0
2007-08-01,3559171026.0
2007-09-01,3283958484.0
2007-10-01,3402738705.0
2007-11-01,3473443171.0
2007-12-01,3048861924.0
2008-01-01,2821719796.0
2008-02-01,2584144632.0
2008-03-01,2943764908.0
2008-04-01,2863564639.0
2008-05-01,3085099268.0
2008-06-01,3265170603.0
2008-07-01,3204105598.0
2008-08-01,3099795850.0
2008-09-01,2940514580.0
2008-10-01,2515931100.0
2008-11-01,1941650847.0
2008-12-01,1527327687.0
2009-01-01,1497459906.0
2009-02-01,1535907190.0
2009-03-01,1812413262.0
2009-04-01,2114607318.0
2009-05-01,2402041906.0
2009-06-01,2514915454.0
2009-07-01,2703063424.0
2009-08-01,2876945090.0
2009-09-01,3210575200.0
2009-10-01,3431934373.0
2009-11-01,3497314186.0
2009-12-01,3444719596.0
2010-01-01,3303255465.0
2010-02-01,3346961436.0
2010-03-01,4042045465.0
2010-04-01,4178344089.0
2010-05-01,4385834331.0
2010-06-01,4377447501.0
2010-07-01,4617854675.0
2010-08-01,4744050392.0
2010-09-01,4770196220.0
2010-10-01,4555989511.0
2010-11-01,4130178403.0
2010-12-01,4254900144.0
2011-01-01,4094893662.0
2011-02-01,3654848182.0
2011-03-01,4472320521.0
2011-04-01,4154838905.0
2011-05-01,4173149743.0
2011-06-01,4209470502.0
2011-07-01,3969079064.0
2011-08-01,4112429218.0
2011-09-01,4593133719.0
2011-10-01,4350816863.0
2011-11-01,4076478190.0
2011-12-01,4284586668.0
2012-01-01,3764419921.0
2012-02-01,3870370005.0
2012-03-01,4309108242.0
2012-04-01,3833476974.0
2012-05-01,4227721246.0
2012-06-01,4348761283.0
2012-07-01,3941447370.0
2012-08-01,4093719300.0
2012-09-01,4467454046.0
2012-10-01,4643934240.0
2012-11-01,4602619161.0
2012-12-01,4327326556.0
2013-01-01,4034855878.0
2013-02-01,3903416211.0
2013-03-01,4594793509.0
2013-04-01,4311774305.0
2013-05-01,4954476500.0
2013-06-01,4646955308.0
2013-07-01,4796812166.0
2013-08-01,4994025646.0
2013-09-01,5408216039.0
2013-10-01,5333812057.0
2013-11-01,4972902986.0
2013-12-01,5190789996.0
2014-01-01,4647126399.0
2014-02-01,4472213064.0
2014-03-01,5237383568.0
2014-04-01,4828716487.0
2014-05-01,4902241503.0
2014-06-01,5154851606.0
2014-07-01,4838639205.0
2014-08-01,5242095479.0
2014-09-01,5808551055.0
2014-10-01,5946330901.0
2014-11-01,5763785015.0
2014-12-01,5804598315.0
2015-01-01,5262677251.0
2015-02-01,4760274321.0
2015-03-01,5388575279.0
2015-04-01,5162349856.0
2015-05-01,5111369833.0
2015-06-01,5306305810.0
2015-07-01,5137059509.0
2015-08-01,5451972320.0
2015-09-01,5855014295.0
2015-10-01,5499195842.0
2015-11-01,5189996572.0
2015-12-01,4791291472.0
2016-01-01,4528349354.0
2016-02-01,4151030227.0
2016-03-01,5287250495.0
2016-04-01,4551210716.0
2016-05-01,4888745777.0
2016-06-01,5279903798.0
2016-07-01,5003007832.0
2016-08-01,5587505678.0
2016-09-01,5702193367.0
2016-10-01,5590849663.0
2016-11-01,5793389598.0
2016-12-01,5861252937.0
2017-01-01,6409038062.0
2017-02-01,6498377055.0
2017-03-01,7609980727.0
2017-04-01,7240916586.0
2017-05-01,7626161250.0
2017-06-01,8180549880.0
2017-07-01,8040348758.0
2017-08-01,8924527145.0
2017-09-01,9876620660.0
2017-10-01,9640195271.0
2017-11-01,9760610676.0
2017-12-01,9865634701.0
2018-01-01,9854036156.0
2018-02-01,9143440219.0
2018-03-01,10980403469.0
2018-04-01,9888866077.0
2018-05-01,10937100673.0
2018-06-01,11252062430.0
2018-07-01,10471302793.0
2018-08-01,11634842286.0
2018-09-01,12536376588.0
2018-10-01,11703376645.0
2018-11-01,10790885723.0
2018-12-01,8952440602.0
2019-01-01,7536009968.0
2019-02-01,6864747858.0
2019-03-01,9122947540.0
2019-04-01,8554630389.0
2019-05-01,7658132165.0
2019-06-01,8400661312.0
2019-07-01,7566237293.0
2019-08-01,8082230260.0
2019-09-01,8577042753.0
2019-10-01,7948395735.0
2019-11-01,7471687191.0
2019-12-01,7373138903.0
2020-01-01,7287683985.0
2020-02-01,7502266658.0
2020-03-01,8867404804.0
2020-04-01,7260831705.0
2020-05-01,8152829732.0
2020-06-01,8359257178.0
2020-07-01,7960670744.0
2020-08-01,8291245895.0
2020-09-01,9598018934.0
2020-10-01,8750102979.0
2020-11-01,8668949283.0
2020-12-01,9551342161.0
